"","name"
"1","Os01g0705200"
"2","Os01g0705200"
"3","Os01g0705200"
"4","Os05g0373900"
"5","Os09g0109600"
"6","Os11g0451700"
"7","Os03g0820500"
"8","Os03g0268600"
"9","Os09g0325700"
"10","Os11g0181200"
"11","Os05g0473000"
"12","Os02g0824500"
"13","Os08g0476300"
"14","Os06g0651200"
"15","Os01g0656200"
"16","Os03g0297600"
"17","Os11g0498600"
"18","Os01g0571300"
"19","Os06g0553100"
"20","Os04g0244800"
"21","Os01g0135700"
"22","Os05g0542500"
"23","Os05g0542500"
"24","Os10g0548100"
"25","Os09g0482300"
"26","Os05g0542500"
"27","Os05g0151200"
"28","Os09g0378700"
"29","Os05g0537400"
"30","Os04g0564700"
"31","Os10g0505900"
"32","Os02g0687200"
"33","Os09g0482600"
"34","Os09g0555500"
"35","Os07g0154100"
"36","Os01g0644200"
"37","Os12g0147200"
"38","Os04g0451700"
"39","Os11g0609600"
"40","Os03g0238300"
"41","Os05g0494600"
"42","Os06g0246500"
"43","Os03g0322900"
"44","Os06g0681200"
"45","Os06g0698300"
"46","Os03g0238300"
"47","Os11g0240600"
"48","Os09g0555500"
"49","Os03g0214200"
"50","Os08g0385000"
"51","Os03g0815100"
"52","Os02g0685200"
"53","Os07g0584100"
"54","Os04g0386700"
"55","Os05g0574900"
"56","Os07g0584100"
"57","Os11g0453900"
"58","Os03g0341300"
"59","Os11g0454200"
"60","Os06g0507300"
"61","Os09g0127700"
"62","Os03g0815100"
"63","Os01g0833400"
"64","Os03g0815100"
"65","Os03g0696300"
"66","Os09g0445600"
"67","Os03g0815100"
"68","Os03g0238300"
"69","Os01g0511100"
"70","Os03g0305600"
"71","Os01g0658900"
"72","Os08g0390200"
"73","Os02g0618400"
"74","Os12g0617400"
"75","Os08g0414500"
"76","Os07g0561300"
"77","Os01g0858200"
"78","Os03g0258200"
"79","Os05g0421600"
"80","Os03g0214200"
"81","Os03g0815100"
"82","Os01g0192300"
"83","Os10g0467000"
"84","Os01g0858200"
"85","Os02g0712600"
"86","Os03g0191900"
"87","Os01g0284900"
"88","Os02g0566400"
"89","Os10g0542400"
"90","Os09g0441000"
"91","Os05g0468800"
"92","Os09g0376300"
"93","Os10g0542400"
"94","Os01g0884300"
"95","Os04g0564700"
"96","Os06g0300500"
"97","Os09g0470500"
"98","Os08g0249000"
"99","Os05g0151200"
"100","Os04g0655400"
"101","Os05g0115100"
"102","Os07g0635500"
"103","Os02g0733900"
"104","Os02g0766700"
"105","Os07g0602900"
"106","Os02g0816600"
"107","Os12g0242500"
"108","Os01g0733200"
"109","Os10g0561800"
"110","Os04g0541700"
"111","Os02g0629000"
"112","Os06g0650700"
"113","Os01g0658900"
"114","Os02g0483500"
"115","Os07g0635500"
"116","Os01g0733200"
"117","Os04g0435500"
"118","Os12g0158700"
"119","Os01g0867300"
"120","Os04g0105100"
"121","Os02g0526400"
"122","Os01g0304400"
"123","Os07g0118300"
"124","Os10g0177200"
"125","Os04g0541700"
"126","Os05g0457200"
"127","Os05g0360400"
"128","Os04g0508500"
"129","Os03g0820300"
"130","Os04g0105100"
"131","Os01g0867300"
"132","Os02g0580900"
"133","Os05g0231700"
"134","Os10g0104300"
"135","Os01g0225600"
"136","Os03g0386000"
"137","Os01g0629400"
"138","Os01g0629400"
"139","Os01g0876400"
"140","Os03g0316200"
"141","Os02g0694100"
"142","Os01g0583100"
"143","Os06g0341300"
"144","Os06g0133400"
"145","Os07g0418500"
"146","Os04g0589800"
"147","Os05g0195200"
"148","Os06g0523300"
"149","Os08g0485400"
"150","Os01g0884300"
"151","Os08g0150700"
"152","Os10g0103700"
"153","Os02g0158900"
"154","Os02g0816600"
"155","Os04g0605500"
"156","Os03g0327800"
"157","Os08g0408500"
"158","Os05g0231700"
"159","Os03g0133100"
"160","osa-miR415"
"161","Os01g0717000"
"162","Os08g0408500"
"163","Os10g0561800"
"164","Os08g0472000"
"165","Os04g0605500"
"166","Os01g0802600"
"167","Os11g0240600"
"168","Os09g0394600"
"169","Os09g0518000"
"170","Os01g0858200"
"171","Os01g0314800"
"172","Os06g0324400"
"173","Os10g0466800"
"174","Os01g0633400"
"175","Os11g0454000"
"176","Os03g0377700"
"177","Os03g0419100"
"178","Os01g0556700"
"179","Os04g0541700"
"180","Os03g0645900"
"181","Os10g0576600"
"182","Os08g0442400"
"183","Os08g0408500"
"184","Os08g0465800"
"185","Os02g0618400"
"186","Os05g0206000"
"187","Os02g0686100"
"188","Os02g0591000"
"189","Os01g0952900"
"190","Os10g0576600"
"191","Os01g0112500"
"192","Os11g0643600"
"193","Os05g0198200"
"194","Os03g0419100"
"195","Os01g0173000"
"196","Os07g0633200"
"197","Os08g0472000"
"198","Os01g0833400"
"199","Os02g0139000"
"200","Os05g0212300"
"201","Os03g0346200"
"202","Os03g0822400"
"203","Os05g0122700"
"204","Os05g0510100"
"205","Os03g0374500"
"206","Os03g0298300"
"207","Os06g0107800"
"208","Os02g0686700"
"209","Os12g0506500"
"210","Os02g0526400"
"211","Os12g0624200"
"212","Os08g0476300"
"213","Os03g0269900"
"214","Os03g0655400"
"215","Os01g0841700"
"216","Os03g0125100"
"217","Os02g0254600"
"218","Os03g0696300"
"219","Os11g0109700"
"220","Os04g0583900"
"221","Os07g0517100"
"222","Os10g0516900"
"223","Os01g0716800"
"224","Os03g0655400"
"225","Os03g0117900"
"226","Os05g0524100"
"227","Os10g0522800"
"228","Os01g0866500"
"229","Os10g0576600"
"230","Os01g0214500"
"231","Os03g0316200"
"232","Os01g0658900"
"233","Os02g0265900"
"234","Os08g0472800"
"235","Os01g0112500"
"236","Os04g0527000"
"237","Os08g0472000"
"238","Os01g0316600"
"239","Os01g0264000"
"240","Os02g0741700"
"241","Os07g0517100"
"242","Os02g0805100"
"243","Os03g0292700"
"244","Os02g0759400"
"245","Os09g0558800"
"246","Os08g0181800"
"247","Os07g0584100"
"248","Os01g0312800"
"249","Os05g0138300"
"250","Os12g0567500"
"251","Os02g0807800"
"252","Os03g0823000"
"253","Os09g0470500"
"254","Os06g0683400"
"255","Os01g0121600"
"256","Os07g0419100"
"257","Os01g0658900"
"258","Os07g0544000"
"259","Os02g0789600"
"260","Os02g0669100"
"261","Os12g0106200"
"262","Os07g0517100"
"263","Os05g0316800"
"264","Os05g0573300"
"265","Os01g0227100"
"266","Os01g0797600"
"267","Os01g0112500"
"268","Os04g0605500"
"269","Os11g0528600"
"270","Os01g0841700"
"271","Os03g0857900"
"272","Os04g0568400"
