"","name"
"1","Os09g0325700"
"2","Os09g0455300"
"3","Os09g0455300"
"4","Os02g0677300"
"5","Os10g0548100"
"6","Os03g0268600"
"7","Os09g0378700"
"8","Os01g0644200"
"9","Os12g0242500"
"10","Os12g0594000"
"11","Os07g0541900"
"12","Os01g0705200"
"13","Os05g0494600"
"14","Os01g0162300"
"15","Os07g0154100"
"16","Os05g0457200"
"17","Os09g0457100"
"18","Os03g0809200"
"19","Os10g0561200"
"20","Os01g0915000"
"21","Os01g0846300"
"22","Os11g0444800"
"23","Os04g0488400"
"24","Os03g0191900"
"25","Os01g0705200"
"26","Os10g0465700"
"27","Os09g0425200"
"28","Os01g0264600"
"29","Os07g0602900"
"30","Os02g0703600"
"31","Os02g0592800"
"32","Os01g0583100"
"33","Os01g0243300"
"34","Os01g0846300"
"35","Os06g0223700"
"36","Os01g0919600"
"37","Os04g0572400"
"38","Os02g0766700"
"39","Os10g0416500"
"40","Os06g0258000"
"41","Os06g0498800"
"42","Os03g0745000"
"43","Os04g0541700"
"44","Os01g0956200"
"45","Os12g0582700"
"46","Os03g0820500"
"47","Os04g0550200"
"48","Os08g0457400"
"49","Os01g0192300"
"50","Os08g0471200"
"51","Os01g0642000"
"52","Os06g0696600"
"53","Os12g0187800"
"54","Os01g0780800"
"55","Os01g0195100"
"56","Os01g0200600"
"57","Os04g0572400"
"58","Os02g0658200"
"59","Os08g0320900"
"60","Os06g0229000"
"61","Os02g0677300"
"62","Os01g0270300"
"63","Os07g0661500"
"64","Os08g0399500"
"65","Os12g0148700"
"66","Os09g0482300"
"67","Os07g0259100"
"68","Os01g0242400"
"69","Os11g0575500"
"70","Os07g0691300"
"71","Os09g0399800"
"72","Os07g0558100"
"73","Os04g0527400"
"74","Os09g0106700"
"75","Os05g0499800"
"76","Os01g0546000"
"77","Os01g0863300"
"78","Os03g0281500"
"79","Os01g0270300"
"80","Os04g0244800"
"81","Os08g0201100"
"82","Os03g0119300"
"83","Os02g0531600"
"84","Os03g0133100"
"85","Os11g0591000"
"86","Os09g0442100"
"87","Os01g0276300"
"88","Os01g0192300"
"89","Os05g0499800"
"90","Os01g0956200"
"91","Os09g0522000"
"92","Os08g0220600"
"93","Os02g0733900"
"94","Os12g0510500"
"95","Os01g0270300"
"96","Os01g0823100"
"97","Os07g0417200"
"98","Os01g0658900"
"99","Os02g0540700"
"100","Os07g0589600"
"101","Os03g0716900"
"102","Os01g0299700"
"103","Os04g0150300"
"104","Os08g0391700"
"105","Os01g0823100"
"106","Os08g0520600"
"107","Os03g0740200"
"108","Os05g0500200"
"109","Os02g0814000"
"110","Os12g0121000"
"111","Os01g0658900"
"112","Os06g0160800"
"113","Os08g0472800"
"114","Os01g0858200"
"115","Os01g0858200"
"116","Os02g0665300"
"117","Os02g0649300"
"118","Os03g0125100"
"119","Os01g0180000"
"120","Os04g0541700"
"121","Os05g0581700"
"122","Os07g0422100"
"123","Os06g0553100"
"124","Os03g0758900"
"125","Os04g0600000"
"126","Os08g0442900"
"127","Os01g0669100"
"128","Os09g0555500"
"129","Os08g0408500"
"130","Os12g0147200"
"131","Os04g0481600"
"132","Os03g0210500"
"133","Os04g0493100"
"134","Os12g0568800"
"135","Os08g0455700"
"136","Os01g0571300"
"137","Os05g0537400"
"138","Os10g0531900"
"139","Os02g0814000"
"140","Os10g0173000"
"141","Os11g0451700"
"142","Os02g0656600"
"143","Os01g0192300"
"144","Os01g0642100"
"145","Os02g0187700"
"146","Os09g0572600"
"147","Os06g0495100"
"148","Os04g0635100"
"149","Os07g0141200"
"150","Os01g0740400"
"151","Os04g0541700"
"152","osa-miR445a"
"153","Os07g0640300"
"154","Os01g0705200"
"155","osa-miR395h"
"156","Os04g0527400"
"157","Os09g0458600"
"158","Os04g0520700"
"159","Os11g0448000"
"160","Os07g0587500"
"161","Os04g0435500"
"162","Os10g0530700"
"163","Os03g0810100"
"164","Os01g0915300"
"165","Os08g0408500"
"166","Os04g0558700"
"167","Os03g0297600"
"168","Os11g0181200"
"169","Os03g0287000"
"170","Os07g0677400"
"171","Os10g0416500"
"172","Os05g0442700"
"173","Os03g0286900"
"174","Os04g0527400"
"175","Os08g0353700"
"176","Os01g0901600"
"177","Os03g0770800"
"178","Os07g0147600"
"179","Os07g0653900"
"180","Os06g0318800"
"181","Os04g0552300"
"182","Os05g0490400"
"183","Os01g0630300"
"184","Os11g0264500"
"185","Os10g0568100"
"186","Os04g0493100"
"187","Os01g0901600"
"188","Os01g0656200"
"189","Os11g0652600"
"190","Os01g0658900"
"191","Os01g0187200"
"192","Os04g0604200"
"193","Os04g0632400"
"194","Os07g0633200"
"195","Os02g0756200"
"196","Os04g0572400"
"197","Os03g0304500"
"198","Os02g0527300"
"199","Os01g0630300"
"200","Os04g0203700"
"201","POsControl0039"
"202","Os07g0549100"
"203","Os03g0298300"
"204","Os01g0915200"
"205","Os02g0705500"
"206","Os01g0309800"
"207","Os01g0517800"
"208","Os08g0408500"
"209","Os02g0174500"
"210","Os01g0658900"
"211","Os01g0221600"
"212","Os09g0501600"
"213","Os09g0522000"
"214","Os08g0551200"
"215","Os01g0858200"
"216","Os04g0667300"
"217","Os01g0677900"
"218","Os07g0259100"
"219","Os01g0699100"
"220","Os03g0305200"
"221","Os12g0608900"
"222","Os07g0212400"
"223","Os03g0323300"
"224","Os04g0435500"
"225","Os05g0572000"
"226","Os07g0238700"
"227","Os09g0421200"
"228","Os09g0555500"
"229","Os04g0308000"
"230","osa-miR156k"
"231","Os02g0767400"
"232","Os05g0477600"
"233","Os01g0727500"
"234","Os02g0814000"
"235","Os01g0814400"
"236","Os02g0651900"
"237","Os02g0705500"
"238","Os07g0517100"
"239","Os09g0526600"
"240","Os08g0452900"
"241","Os03g0729000"
"242","Os01g0814400"
"243","Os05g0477600"
"244","Os01g0200600"
"245","Os09g0349700"
"246","Os04g0568700"
"247","Os12g0478200"
"248","Os06g0611900"
"249","Os05g0347400"
"250","Os05g0368700"
"251","Os01g0163000"
"252","Os09g0486500"
"253","Os03g0815100"
"254","Os06g0697000"
"255","Os08g0470000"
"256","Os11g0151800"
"257","Os06g0304700"
"258","Os04g0192200"
"259","Os04g0595000"
"260","Os02g0608100"
"261","Os02g0533700"
"262","Os02g0232000"
"263","Os08g0452500"
"264","Os09g0434600"
"265","Os08g0414500"
"266","Os01g0826800"
"267","Os05g0128200"
"268","Os10g0508700"
"269","Os07g0147600"
"270","Os09g0545000"
"271","Os06g0133400"
"272","Os01g0603800"
"273","Os09g0438100"
"274","Os04g0617400"
"275","Os02g0527700"
"276","Os01g0206700"
"277","Os04g0435500"
"278","Os05g0128200"
"279","Os06g0127100"
"280","Os02g0131000"
"281","Os03g0250000"
"282","Os01g0206700"
"283","Os02g0651900"
"284","Os04g0635400"
"285","Os01g0623200"
"286","Os02g0705500"
"287","Os01g0206700"
"288","Os02g0656400"
"289","osa-miR443"
"290","Os01g0197700"
"291","Os05g0374500"
"292","Os02g0555900"
"293","Os06g0659400"
"294","Os01g0206700"
"295","Os07g0517100"
"296","Os05g0183100"
"297","Os05g0574100"
"298","Os07g0274100"
"299","Os09g0401000"
"300","Os01g0661500"
"301","Os08g0445700"
"302","Os03g0815100"
"303","Os08g0128400"
"304","Os08g0452500"
"305","Os11g0265900"
"306","Os02g0756800"
"307","Os05g0595300"
"308","Os11g0644900"
"309","Os06g0652300"
"310","Os01g0814400"
"311","Os03g0815100"
"312","Os01g0382000"
"313","Os06g0652200"
"314","Os06g0296000"
"315","Os07g0108800"
"316","Os01g0594300"
"317","Os10g0532900"
"318","Os12g0132500"
"319","Os11g0177400"
"320","Os12g0568700"
"321","Os08g0425500"
"322","Os09g0535900"
"323","Os01g0659900"
"324","Os03g0298300"
"325","Os07g0517100"
"326","Os01g0326100"
"327","Os06g0651200"
"328","osa-miR399c"
"329","Os12g0123700"
"330","osa-miR171b"
"331","Os09g0128400"
"332","Os09g0109600"
"333","Os01g0515300"
"334","Os03g0103100"
"335","Os04g0345400"
"336","Os05g0552600"
"337","Os02g0759400"
"338","Os07g0548500"
"339","Os02g0684200"
"340","Os04g0483200"
"341","Os11g0209400"
"342","Os05g0195700"
"343","Os04g0169100"
"344","Os07g0422100"
"345","Os04g0172600"
"346","Os11g0576700"
"347","osa-miR440"
"348","Os10g0524600"
"349","Os09g0252700"
"350","Os08g0531700"
"351","Os04g0582000"
"352","Os03g0815100"
"353","Os02g0654600"
"354","Os03g0346200"
"355","Os07g0569100"
"356","Os03g0815100"
"357","Os04g0685000"
"358","POsControl0005"
"359","Os07g0147600"
"360","osa-miR399k"
"361","Os11g0501000"
"362","Os02g0194400"
"363","Os04g0562100"
"364","Os05g0296900"
"365","Os07g0661400"
"366","Os06g0324800"
"367","Os03g0808300"
"368","Os06g0170600"
"369","Os02g0641300"
"370","Os05g0399700"
"371","Os09g0555700"
"372","Os03g0250000"
"373","Os12g0120900"
"374","Os04g0435500"
"375","Os03g0600600"
"376","Os04g0168300"
"377","Os02g0756200"
"378","Os04g0526800"
"379","Os01g0113800"
"380","Os02g0777800"
"381","Os03g0298900"
"382","Os03g0745000"
"383","Os01g0126100"
"384","Os06g0228600"
"385","Os04g0420400"
"386","Os06g0238700"
"387","Os05g0195700"
"388","Os03g0616300"
"389","Os05g0143500"
"390","Os01g0316600"
"391","Os03g0188500"
"392","Os09g0401000"
"393","osa-miR171e"
"394","Os10g0411500"
"395","Os03g0648200"
"396","Os05g0102000"
"397","Os01g0696600"
"398","Os09g0486500"
"399","Os09g0321000"
"400","Os11g0244600"
"401","osa-miR168b"
"402","Os04g0418500"
"403","Os03g0365900"
"404","osa-miR446"
"405","Os03g0268900"
"406","Os03g0822400"
"407","Os11g0295900"
"408","Os05g0195200"
"409","Os03g0259100"
"410","Os07g0503600"
"411","Os07g0439000"
"412","Os04g0478100"
"413","Os01g0228500"
"414","Os06g0143400"
"415","Os04g0547600"
"416","Os05g0542500"
"417","Os04g0604300"
"418","Os09g0482600"
"419","Os09g0522000"
"420","Os01g0699400"
"421","Os08g0138900"
"422","Os10g0406300"
"423","Os11g0126900"
"424","Os11g0158300"
"425","Os12g0621500"
"426","Os01g0841100"
"427","Os09g0486500"
"428","Os09g0486500"
"429","Os03g0853200"
"430","Os09g0400500"
"431","Os09g0332300"
"432","Os01g0862800"
"433","Os08g0367300"
"434","Os06g0157000"
"435","Os04g0586100"
"436","Os03g0247900"
"437","osa-miR441b"
"438","Os07g0529000"
"439","Os04g0162600"
"440","Os01g0110100"
"441","Os07g0687900"
"442","Os01g0306400"
"443","Os02g0150200"
"444","Os02g0748300"
"445","Os11g0506800"
"446","Os11g0180800"
"447","Os10g0523900"
"448","Os03g0773000"
"449","Os01g0592500"
"450","Os01g0950000"
"451","Os06g0143400"
"452","Os01g0793900"
"453","Os10g0524500"
"454","Os11g0554300"
"455","Os03g0793700"
"456","Os04g0191600"
"457","Os06g0334100"
"458","Os06g0473800"
"459","Os12g0633600"
"460","Os01g0665900"
"461","Os03g0142200"
"462","Os02g0109200"
"463","Os05g0161800"
"464","Os01g0117300"
"465","Os06g0685200"
"466","Os08g0375700"
"467","Os10g0177300"
"468","Os11g0428500"
"469","Os09g0453200"
"470","Os07g0457500"
"471","Os05g0119500"
"472","Os02g0170900"
"473","Os02g0215900"
"474","Os01g0851100"
"475","Os11g0569600"
"476","Os06g0683400"
"477","osa-miR441c"
"478","Os02g0201300"
"479","Os06g0726300"
"480","Os11g0256900"
"481","osa-miR395s"
"482","Os01g0833400"
"483","osa-miR395i"
"484","Os12g0433100"
"485","Os08g0222800"
"486","Os08g0472000"
"487","Os03g0745000"
"488","Os03g0770800"
"489","PGmControl0001"
"490","Os12g0194400"
"491","Os11g0143300"
"492","Os05g0280700"
"493","Os02g0214300"
"494","Os04g0389800"
"495","Os04g0394100"
"496","Os04g0317500"
"497","Os02g0203200"
"498","Os11g0117200"
"499","osa-miR162b"
"500","Os11g0692700"
"501","Os06g0650700"
"502","Os10g0521900"
"503","Os12g0158700"
"504","Os02g0657000"
"505","Os11g0603100"
"506","Os07g0686600"
"507","Os08g0419200"
"508","Os02g0527200"
"509","Os02g0583300"
"510","Os08g0198100"
"511","Os08g0371900"
"512","Os03g0822400"
"513","Os03g0768900"
"514","Os05g0311900"
"515","Os09g0250200"
"516","Os03g0323600"
"517","Os01g0219500"
"518","Os06g0683400"
"519","Os02g0219000"
"520","Os12g0603900"
"521","Os05g0488600"
"522","Os01g0138800"
"523","Os09g0486500"
"524","Os08g0202300"
"525","Os06g0728200"
"526","Os07g0661400"
"527","Os11g0170300"
"528","Os01g0939100"
"529","Os11g0528700"
"530","Os12g0431100"
"531","Os06g0637500"
"532","Os05g0596000"
"533","Os10g0118000"
"534","Os06g0534200"
"535","Os10g0416500"
"536","Os06g0668000"
"537","Os01g0846400"
"538","Os08g0135800"
"539","Os08g0150600"
"540","Os06g0683400"
"541","Os04g0430200"
"542","Os04g0430200"
"543","Os01g0899800"
"544","Os03g0250900"
"545","POsControl0005"
"546","Os06g0531400"
"547","Os09g0380600"
"548","Os06g0666400"
"549","Os03g0399000"
"550","Os04g0635500"
"551","Os02g0772900"
"552","Os01g0308200"
"553","osa-miR442"
"554","Os05g0163900"
"555","Os11g0498600"
"556","Os10g0559300"
"557","Os07g0123200"
"558","Os08g0230800"
"559","Os05g0166300"
"560","Os03g0739500"
"561","Os06g0637500"
"562","Os02g0657000"
"563","Os08g0444400"
"564","Os05g0373900"
"565","Os07g0217800"
"566","Os06g0133900"
"567","Os06g0133200"
"568","Os11g0158200"
"569","Os12g0581900"
"570","Os03g0803100"
"571","Os01g0909300"
"572","PTaControl0001"
"573","Os03g0389900"
"574","Os03g0280700"
"575","Os01g0137800"
"576","Os03g0222700"
"577","Os04g0354200"
"578","Os06g0185800"
"579","Os08g0449300"
"580","Os07g0661400"
"581","Os11g0674300"
"582","Os01g0699500"
"583","Os04g0511200"
"584","Os07g0129200"
"585","Os01g0757200"
"586","Os03g0284700"
"587","Os09g0267500"
"588","Os02g0736900"
"589","Os04g0126800"
"590","Os06g0594400"
"591","Os09g0273800"
"592","Os01g0132100"
"593","Os12g0186600"
"594","Os02g0506400"
"595","Os07g0421300"
"596","Os06g0300500"
"597","Os12g0628600"
"598","Os07g0287800"
"599","Os11g0657900"
"600","Os04g0657100"
"601","Os03g0386000"
"602","Os02g0154300"
"603","Os06g0551800"
"604","Os09g0572400"
"605","Os01g0824600"
"606","Os06g0703700"
"607","Os01g0753400"
"608","Os12g0120400"
"609","Os01g0975900"
"610","Os05g0143500"
"611","osa-miR395l"
"612","Os01g0210400"
"613","Os05g0191500"
"614","Os02g0811800"
"615","Os02g0703800"
"616","Os05g0531700"
"617","Os11g0121300"
"618","Os03g0661600"
"619","Os05g0142900"
"620","Os05g0198000"
"621","Os10g0439200"
"622","Os08g0540400"
"623","Os12g0497700"
"624","Os08g0547300"
"625","Os10g0416500"
"626","Os08g0460600"
"627","Os11g0587600"
"628","Os09g0518200"
"629","Os03g0275100"
"630","Os03g0615300"
"631","Os05g0143500"
"632","Os01g0692400"
"633","Os10g0376900"
"634","Os06g0618700"
"635","osa-miR445a"
"636","Os08g0127900"
"637","Os04g0527000"
"638","Os06g0725700"
"639","Os03g0766100"
"640","Os05g0241300"
"641","Os12g0140700"
"642","Os11g0607900"
"643","Os01g0954000"
"644","Os06g0137500"
"645","Os07g0176500"
"646","Os12g0266000"
"647","Os08g0205800"
"648","Os06g0587000"
"649","Os09g0392700"
"650","Os09g0441000"
"651","Os04g0626300"
"652","Os08g0112200"
"653","osa-miR171f"
"654","Os02g0528000"
"655","Os11g0500100"
"656","Os01g0923800"
"657","POsControl0022"
"658","Os09g0526600"
"659","Os01g0503400"
"660","Os07g0192700"
"661","Os07g0588400"
"662","Os09g0304400"
"663","Os01g0301500"
"664","Os03g0556500"
"665","Os05g0188900"
"666","POsControl0010"
"667","Os01g0116000"
"668","Os03g0724700"
"669","Os03g0654100"
"670","Os12g0448900"
"671","osa-miR171c"
"672","Os07g0563400"
"673","Os01g0864200"
"674","Os01g0871800"
"675","Os01g0924200"
"676","Os08g0398300"
"677","Os11g0251700"
