"","name"
"1","Os02g0805100"
"2","Os07g0225300"
"3","Os05g0465000"
"4","Os02g0561000"
"5","Os07g0688200"
"6","Os07g0225300"
"7","Os02g0561800"
"8","Os02g0561900"
"9","Os11g0150700"
"10","Os02g0559800"
"11","Os05g0500900"
"12","Os10g0560000"
"13","Os02g0561400"
"14","Os10g0162600"
"15","Os01g0178500"
"16","Os01g0178500"
"17","Os02g0561800"
"18","Os02g0560200"
"19","Os12g0614600"
"20","Os09g0451000"
"21","Os04g0483000"
"22","Os02g0560600"
"23","Os08g0563400"
"24","Os02g0181300"
"25","Os01g0286900"
"26","Os02g0540400"
"27","Os12g0573600"
"28","Os01g0178500"
"29","Os07g0182400"
"30","Os02g0561000"
"31","Os10g0560000"
"32","Os09g0527700"
"33","Os06g0597000"
"34","Os02g0560600"
"35","Os01g0178500"
"36","Os07g0592600"
"37","Os01g0698800"
"38","Os04g0537100"
"39","Os02g0594700"
"40","Os12g0149700"
"41","Os10g0561800"
"42","Os01g0816100"
"43","Os10g0561800"
"44","Os05g0497200"
"45","Os02g0141100"
"46","Os03g0181100"
"47","Os06g0597000"
"48","Os12g0106200"
"49","Os03g0766800"
"50","Os01g0764800"
"51","Os08g0551700"
"52","Os03g0815100"
"53","Os02g0560200"
"54","Os06g0702600"
"55","Os01g0935800"
"56","Os10g0535600"
"57","Os10g0534400"
"58","Os03g0815100"
"59","Os09g0456700"
"60","Os03g0815100"
"61","Os02g0654700"
"62","Os03g0180900"
"63","Os03g0107700"
"64","Os12g0138000"
"65","Os03g0633800"
"66","Os06g0248500"
"67","Os02g0561400"
"68","Os02g0756600"
"69","Os10g0411500"
"70","Os02g0741700"
"71","Os02g0602000"
"72","Os07g0681200"
"73","Os03g0181100"
"74","Os03g0815100"
"75","Os01g0830500"
"76","Os01g0844500"
"77","Os02g0532900"
"78","Os11g0141400"
"79","Os06g0133400"
"80","Os04g0548700"
"81","Os02g0743400"
"82","Os05g0217000"
"83","Os01g0830500"
"84","Os03g0351700"
"85","Os04g0475600"
"86","Os06g0677000"
"87","Os08g0452900"
"88","Os10g0162600"
"89","Os06g0166500"
"90","Os10g0536700"
"91","Os06g0676900"
"92","Os02g0743400"
"93","Os01g0806200"
"94","Os06g0600400"
"95","Os09g0509100"
"96","Os03g0714100"
"97","Os01g0905200"
"98","Os03g0633500"
"99","Os04g0475600"
"100","Os09g0451000"
"101","Os03g0402800"
"102","Os07g0587500"
"103","Os01g0646300"
"104","Os02g0620400"
"105","Os09g0451000"
"106","Os01g0192000"
"107","Os04g0639000"
"108","Os06g0529900"
"109","Os07g0410300"
"110","Os05g0503500"
"111","Os03g0107700"
"112","Os11g0523800"
"113","Os07g0635500"
"114","Os01g0192000"
"115","Os03g0815100"
"116","Os02g0743400"
"117","Os06g0649000"
"118","Os10g0147400"
"119","Os12g0498900"
"120","Os02g0262800"
"121","Os02g0723200"
"122","Os05g0343400"
"123","Os04g0684900"
"124","Os09g0517100"
"125","Os06g0683400"
"126","Os01g0905300"
"127","Os12g0137700"
"128","Os06g0683400"
"129","Os06g0683400"
"130","Os06g0192800"
"131","osa-miR393b"
"132","Os02g0532900"
"133","Os08g0374600"
"134","Os04g0415100"
"135","Os11g0621500"
"136","Os03g0149000"
"137","Os10g0147400"
"138","Os03g0769500"
"139","Os07g0635500"
"140","Os04g0600300"
"141","Os02g0208300"
"142","Os02g0597700"
"143","Os06g0649800"
"144","Os10g0525500"
"145","Os09g0403000"
"146","Os03g0402800"
"147","Os12g0608500"
"148","Os11g0144900"
"149","Os04g0600300"
"150","Os08g0551800"
"151","Os02g0817600"
"152","Os12g0147800"
"153","Os06g0507300"
"154","Os10g0566800"
"155","Os04g0556500"
"156","Os02g0807900"
"157","Os12g0554800"
"158","Os07g0686600"
"159","Os05g0519000"
"160","Os06g0725500"
"161","Os04g0578400"
"162","Os03g0854600"
"163","Os11g0523800"
"164","Os09g0412300"
"165","Os11g0587300"
"166","Os01g0837000"
"167","Os08g0547200"
"168","Os03g0162500"
"169","Os04g0447100"
"170","Os08g0177400"
"171","Os08g0547200"
"172","Os02g0817600"
"173","Os03g0171300"
"174","Os08g0553200"
"175","Os03g0228800"
"176","Os05g0559400"
"177","Os11g0153300"
"178","Os12g0147800"
"179","Os11g0153300"
"180","Os03g0442900"
"181","Os09g0451100"
"182","Os10g0562900"
"183","Os10g0458900"
"184","Os05g0559400"
"185","Os02g0820500"
"186","Os05g0559400"
"187","Os05g0559400"
"188","Os05g0537100"
"189","Os12g0582900"
"190","Os01g0174700"
"191","Os05g0135200"
"192","Os06g0666400"
"193","Os11g0622000"
"194","Os01g0627500"
"195","Os12g0571300"
"196","Os03g0188900"
"197","Os03g0582800"
"198","Os03g0797800"
"199","Os11g0552500"
"200","Os01g0888800"
"201","Os11g0664800"
"202","Os09g0539700"
"203","Os03g0854600"
"204","Os02g0747900"
"205","Os06g0140700"
"206","Os03g0760200"
"207","Os05g0559400"
"208","Os12g0168100"
"209","Os08g0448000"
"210","Os07g0109400"
"211","Os08g0269500"
"212","Os05g0426800"
"213","Os12g0157000"
"214","Os04g0568700"
"215","Os01g0241400"
"216","Os03g0858600"
"217","Os01g0219300"
"218","Os02g0667100"
"219","Os01g0618700"
"220","Os01g0929200"
"221","Os04g0671900"
