"","name"
"1","Os05g0465000"
"2","Os04g0659000"
"3","Os09g0455300"
"4","Os06g0600400"
"5","Os09g0546300"
"6","Os08g0551300"
"7","Os09g0527700"
"8","Os04g0684300"
"9","Os10g0560000"
"10","Os04g0399800"
"11","Os03g0768900"
"12","Os03g0175800"
"13","Os06g0166500"
"14","Os03g0133100"
"15","Os08g0551500"
"16","Os03g0124500"
"17","Os04g0231900"
"18","Os12g0614600"
"19","Os10g0560000"
"20","Os10g0534400"
"21","Os01g0764800"
"22","Os12g0608900"
"23","Os09g0455300"
"24","Os08g0320900"
"25","Os03g0141100"
"26","Os03g0642200"
"27","Os12g0573600"
"28","Os11g0525900"
"29","Os09g0547000"
"30","Os02g0184700"
"31","Os03g0758900"
"32","Os09g0572600"
"33","Os12g0470700"
"34","Os12g0246700"
"35","osa-miR395h"
"36","Os10g0530700"
"37","Os07g0603300"
"38","osa-miR171b"
"39","POsControl0039"
"40","osa-miR169m"
"41","Os07g0182400"
"42","Os07g0681200"
"43","Os08g0551200"
"44","Os08g0520600"
"45","Os01g0113800"
"46","Os07g0658700"
"47","Os11g0180800"
"48","Os07g0430100"
"49","osa-miR395g"
"50","Os08g0551800"
"51","Os01g0736100"
"52","Os06g0133300"
"53","Os10g0561800"
"54","Os08g0201100"
"55","Os03g0323300"
"56","Os04g0398000"
"57","Os02g0585700"
"58","Os07g0576100"
"59","Os01g0308200"
"60","Os03g0727600"
"61","Os03g0438700"
"62","Os01g0125500"
"63","Os02g0805100"
"64","Os01g0674600"
"65","Os03g0259500"
"66","Os10g0370700"
"67","Os03g0653900"
"68","Os06g0324800"
"69","Os08g0367300"
"70","Os01g0799500"
"71","Os07g0638300"
"72","Os01g0840300"
"73","Os04g0192200"
"74","Os01g0196300"
"75","Os12g0500400"
"76","Os11g0209400"
"77","Os04g0308000"
"78","Os02g0103600"
"79","Os08g0128400"
"80","Os02g0759400"
"81","Os07g0212400"
"82","Os11g0297300"
"83","Os01g0620800"
"84","Os02g0532900"
"85","Os03g0633800"
"86","Os03g0797800"
"87","osa-miR440"
"88","Os03g0407400"
"89","Os11g0506800"
"90","Os07g0489000"
"91","Os03g0722000"
"92","osa-miR395u"
"93","Os04g0162600"
"94","Os04g0172600"
"95","Os02g0281000"
"96","Os06g0641100"
"97","osa-miR398a"
"98","Os02g0150200"
"99","Os05g0296900"
"100","Os08g0531700"
"101","Os08g0225400"
"102","PGmControl0001"
"103","osa-miR395i"
"104","Os10g0451700"
"105","osa-miR395w"
"106","Os07g0631200"
"107","Os08g0175700"
"108","Os04g0581000"
"109","Os04g0583200"
"110","Os04g0371000"
"111","Os06g0226500"
"112","osa-miR171e"
"113","Os01g0593300"
"114","PZmControl0002"
"115","PGmControl0001"
"116","Os01g0525800"
"117","Os09g0453200"
"118","Os07g0457500"
"119","Os05g0484800"
"120","Os08g0419200"
"121","Os01g0887400"
"122","Os06g0269200"
"123","osa-miR399e"
"124","Os10g0474300"
"125","Os01g0740000"
"126","Os06g0215600"
"127","Os11g0652600"
"128","osa-miR395s"
"129","Os05g0474700"
"130","osa-miR395r"
"131","Os12g0222900"
"132","Os09g0321000"
"133","Os07g0126500"
"134","Os04g0552400"
"135","Os09g0559200"
"136","Os09g0330200"
"137","Os10g0177300"
"138","Os07g0688300"
"139","Os01g0736100"
"140","Os08g0567100"
"141","Os03g0124800"
"142","Os01g0950000"
"143","Os08g0518900"
"144","Os06g0300500"
"145","POsControl0004"
"146","Os01g0178500"
"147","osa-miR159d"
"148","Os09g0467300"
"149","Os11g0490300"
"150","Os02g0576600"
"151","Os06g0185800"
"152","Os03g0702000"
"153","Os05g0394000"
"154","Os01g0620400"
"155","Os11g0644900"
"156","Os04g0169100"
"157","Os02g0694700"
"158","Os05g0250700"
"159","Os01g0817600"
"160","Os09g0415000"
"161","Os01g0286900"
"162","Os11g0437600"
"163","Os11g0591400"
"164","Os02g0252400"
"165","POsControl0036"
"166","Os06g0324400"
"167","Os04g0691200"
"168","Os08g0282700"
"169","Os06g0228600"
"170","Os01g0785400"
"171","Os09g0324300"
"172","Os08g0449400"
"173","Os04g0668400"
"174","Os10g0358100"
"175","Os03g0566500"
"176","Os09g0546500"
"177","Os02g0178200"
"178","osa-miR169p"
"179","Os03g0604700"
"180","Os05g0283200"
"181","PTaControl0001"
"182","Os01g0314000"
"183","Os07g0457600"
"184","Os08g0168000"
"185","Os01g0640000"
"186","Os08g0220100"
"187","Os05g0376000"
"188","Os01g0283500"
"189","Os03g0766100"
"190","POsControl0043"
"191","Os02g0463500"
"192","Os11g0276000"
"193","Os01g0388000"
"194","Os12g0606000"
"195","Os11g0582500"
"196","Os02g0734400"
"197","Os12g0445200"
"198","Os02g0315600"
"199","Os01g0525800"
"200","Os11g0120300"
"201","Os02g0801100"
"202","Os07g0684900"
"203","Os10g0190000"
"204","Os05g0158600"
"205","Os10g0561800"
"206","Os04g0317500"
"207","Os02g0615300"
"208","Os07g0661500"
"209","Os10g0323500"
"210","Os06g0616900"
"211","Os06g0328400"
"212","Os02g0215900"
"213","Os11g0154300"
"214","Os02g0219000"
"215","Os04g0457300"
"216","Os04g0165200"
"217","Os01g0752500"
"218","Os08g0299600"
"219","Os10g0561200"
"220","Os05g0469600"
"221","Os05g0324300"
"222","POsControl0015"
"223","Os03g0250900"
"224","Os09g0252700"
"225","Os12g0639100"
"226","Os04g0659200"
"227","Os10g0190000"
"228","osa-miR166i"
"229","Os09g0339100"
"230","Os12g0420100"
"231","Os11g0158300"
"232","Os11g0579200"
"233","Os07g0446000"
"234","Os05g0163900"
"235","Os08g0242400"
"236","Os01g0264100"
"237","Os02g0659500"
