"","name"
"Os03g0171700|CI442813|NA|CI442813","Os03g0171700"
"Os01g0899800|CI075296|NA|CI075296","Os01g0899800"
"Os01g0197100|C97895|NA|C97895","Os01g0197100"
"Os02g0745300|CI390205|NA|CI390205","Os02g0745300"
"Os12g0614600|AK106290|NA|AK106290","Os12g0614600"
"Os01g0838200|AU075817|NA|AU075817","Os01g0838200"
"Os11g0295900|CI045014|NA|CI045014","Os11g0295900"
"Os06g0600400|AK106672|NA|AK106672","Os06g0600400"
"Os04g0352200|AK103395|NA|AK103395","Os04g0352200"
"Os10g0104300|CI515687|NA|CI515687","Os10g0104300"
"Os03g0602300|AB084385|NA|AB084385","Os03g0602300"
"Os03g0602300|AK072295|NA|AK072295","Os03g0602300"
"Os11g0536000|CI277944|NA|CI277944","Os11g0536000"
"Os06g0140400|AK102692|NA|AK102692","Os06g0140400"
"Os03g0602300|AK101670|NA|AK101670","Os03g0602300"
"Os06g0218800|AK104975|NA|AK104975","Os06g0218800"
"Os06g0218800|AK073565|NA|AK073565","Os06g0218800"
"Os09g0456700|AK108731|NA|AK108731","Os09g0456700"
"Os02g0614300|AK112070|NA|AK112070","Os02g0614300"
"Os01g0905200|AK067779|NA|AK067779","Os01g0905200"
"Os01g0220500|AU090461|NA|AU090461","Os01g0220500"
"Os05g0578900|AK101287|NA|AK101287","Os05g0578900"
"Os02g0710300|AK109662|NA|AK109662","Os02g0710300"
"Os06g0140400|AK059116|NA|AK059116","Os06g0140400"
"Os03g0697200|Os03g0697200|NA|Os03g0697200","Os03g0697200"
"Os04g0653600|AY062179|NA|AY062179","Os04g0653600"
"Os04g0504500|CI221439|NA|CI221439","Os04g0504500"
"Os03g0769500|AK107501|NA|AK107501","Os03g0769500"
"Os04g0653600|AK111891|NA|AK111891","Os04g0653600"
"Os02g0756600|AK062900|NA|AK062900","Os02g0756600"
"Os01g0388000|AK069778|NA|AK069778","Os01g0388000"
"Os04g0319800|CI441743|NA|CI441743","Os04g0319800"
"Os02g0609700|AK060269|NA|AK060269","Os02g0609700"
"Os04g0653600|AK059064|NA|AK059064","Os04g0653600"
"Os01g0785900|AK071014|NA|AK071014","Os01g0785900"
"Os03g0161600|AK107770|NA|AK107770","Os03g0161600"
"Os05g0578900|AK073464|NA|AK073464","Os05g0578900"
"Os11g0126900|AK069257|NA|AK069257","Os11g0126900"
"Os02g0252200|AK063943|NA|AK063943","Os02g0252200"
"Os03g0232600|AK068218|NA|AK068218","Os03g0232600"
"Os02g0252200|AK101280|NA|AK101280","Os02g0252200"
"Os03g0766800|AK120228|NA|AK120228","Os03g0766800"
"Os02g0183000|Os02g0183000|NA|Os02g0183000","Os02g0183000"
"Os03g0729500|AK073578|NA|AK073578","Os03g0729500"
"Os06g0637500|AK121564|NA|AK121564","Os06g0637500"
"Os07g0686600|AK108527|NA|AK108527","Os07g0686600"
"Os06g0637500|AK105817|NA|AK105817","Os06g0637500"
"Os02g0548700|CI065079|NA|CI065079","Os02g0548700"
"Os05g0217800|AK104616|NA|AK104616","Os05g0217800"
"Os03g0729500|AJ575243|NA|AJ575243","Os03g0729500"
"Os05g0125100|CI117408|NA|CI117408","Os05g0125100"
"Os06g0339500|AK105220|NA|AK105220","Os06g0339500"
"Os06g0559000|AK109653|NA|AK109653","Os06g0559000"
