"","name"
"1","Os12g0568800"
"2","Os03g0133100"
"3","Os03g0745000"
"4","Os12g0608900"
"5","Os10g0561200"
"6","Os08g0471200"
"7","osa-miR395s"
"8","Os01g0642000"
"9","Os02g0759400"
"10","Os03g0261000"
"11","Os11g0547300"
"12","Os08g0320900"
"13","Os01g0754300"
"14","osa-miR395d"
"15","Os02g0618400"
"16","Os01g0546000"
"17","Os08g0220600"
"18","Os12g0413400"
"19","Os02g0281000"
"20","Os02g0782500"
"21","Os04g0595000"
"22","Os12g0132500"
"23","Os12g0550500"
"24","Os01g0242400"
"25","Os08g0201100"
"26","Os01g0976100"
"27","Os11g0461300"
"28","Os02g0492000"
"29","Os07g0631200"
"30","Os11g0597400area"
"31","Os10g0190000"
"32","Os04g0583200"
"33","Os10g0198900"
"34","Os11g0173100"
"35","Os04g0174100"
"36","Os11g0506800"
"37","Os01g0757200"
"38","Os12g0555500"
"39","Os03g0150500"
"40","Os05g0560900"
"41","Os04g0573200"
"42","osa-miR395g"
"43","Os01g0780800"
"44","Os01g0757200"
"45","Os03g0636600"
"46","Os03g0371000"
"47","Os04g0572400"
"48","Os10g0572100"
"49","Os01g0674600"
"50","Os01g0959100"
"51","Os02g0628900"
"52","osa-miR171c"
"53","Os07g0258400"
"54","osa-miR167d"
"55","Os02g0569900"
"56","Os01g0187300"
"57","Os12g0125200"
"58","Os12g0275500"
"59","Os11g0437600"
"60","Os02g0605400"
"61","Os07g0590000"
"62","Os03g0748100"
"63","Os12g0555500"
"64","osa-miR169c"
"65","Os03g0212300"
"66","Os07g0108500"
"67","Os01g0840300"
"68","Os10g0530700"
"69","Os09g0522200"
"70","Os09g0261900"
"71","Os08g0230800"
"72","Os04g0133000"
"73","Os01g0554100"
"74","Os02g0624300"
"75","Os04g0107900"
"76","Os12g0152200"
"77","Os07g0640300"
"78","Os06g0474300"
"79","Os02g0281900"
"80","Os09g0322600"
"81","Os02g0665300"
"82","Os03g0788400"
"83","Os03g0288000"
"84","Os11g0683800"
"85","osa-miR160f"
"86","Os10g0556500"
"87","Os02g0608100"
"88","Os04g0523100"
"89","Os10g0546300"
"90","Os03g0129800"
"91","Os04g0192200"
"92","Os02g0237000"
"93","Os11g0652600"
"94","Os06g0341400"
"95","Os03g0712400"
"96","Os07g0133100"
"97","Os01g0382000"
"98","Os01g0677900"
"99","Os11g0514400"
"100","Os12g0140700"
"101","Os02g0687600"
"102","Os01g0871800"
"103","Os12g0246700"
"104","Os11g0644900"
"105","PTaControl0002"
"106","osa-miR171e"
"107","Os01g0162300"
"108","Os02g0152200"
"109","Os07g0513400"
"110","Os10g0143200"
"111","Os03g0638300"
"112","Os09g0322600"
"113","Os12g0467200"
"114","Os09g0555700"
