"","name"
"1","Os09g0483300"
"2","Os12g0139400"
"3","Os02g0557800"
"4","Os11g0143300"
"5","Os04g0673300"
"6","Os11g0143300"
"7","Os03g0829200"
"8","Os12g0624200"
"9","Os05g0179100"
"10","Os10g0466800"
"11","Os02g0557800"
"12","Os04g0481600"
"13","Os11g0184900"
"14","Os08g0409500"
"15","Os06g0694200"
"16","Os11g0143200"
"17","Os05g0541400"
"18","Os03g0188400"
"19","Os06g0220500"
"20","Os07g0215600"
"21","osa-miR171h"
"22","Os02g0226200"
"23","Os12g0120500"
"24","Os08g0472800"
"25","Os10g0483500"
"26","Os04g0637000"
"27","Os12g0139300"
"28","Os02g0613900"
"29","Os01g0609200"
"30","Os01g0853700"
"31","Os01g0875000"
"32","Os01g0940000"
"33","Os05g0212900"
"34","Os12g0181500"
"35","Os03g0602300"
"36","Os04g0637000"
"37","osa-miR171h"
"38","Os01g0868000"
"39","Os01g0847100"
"40","Os12g0181500"
"41","Os03g0602300"
"42","Os01g0952500"
"43","Os10g0576900"
"44","Os11g0121000"
"45","Os11g0274700"
"46","Os02g0613900"
"47","Os06g0659800"
"48","Os05g0114400"
"49","Os10g0122500"
"50","Os02g0624300"
"51","Os12g0181500"
"52","Os03g0602300"
"53","Os04g0606000"
"54","Os05g0114400"
"55","Os05g0212300"
"56","Os03g0169700"
"57","Os10g0576900"
"58","Os05g0212300"
"59","Os01g0191700"
"60","Os04g0385900"
"61","Os07g0611100"
"62","Os07g0533800"
"63","Os01g0822800"
"64","Os06g0258000"
"65","Os12g0593700"
"66","Os07g0503300"
"67","Os01g0706900"
"68","Os05g0303300"
"69","Os03g0196400"
"70","Os04g0268000"
"71","Os09g0394600"
"72","Os03g0717700"
"73","Os01g0605100"
"74","Os01g0923700"
"75","Os04g0639000"
"76","Os02g0820500"
"77","Os01g0775400"
"78","Os07g0471900"
"79","Os10g0515400"
"80","Os07g0536500"
"81","Os04g0606000"
"82","Os03g0324900"
"83","Os07g0503300"
"84","Os03g0671800"
"85","Os03g0823500"
"86","Os10g0531400"
"87","Os06g0597000"
"88","Os03g0190300"
"89","osa-miR171h"
"90","Os03g0401300"
"91","Os07g0593000"
"92","Os05g0198200"
"93","Os09g0461900"
"94","Os05g0500900"
"95","Os01g0923700"
"96","Os12g0132200"
"97","Os04g0333700"
"98","Os03g0175800"
"99","Os02g0483500"
"100","Os06g0597000"
"101","Os04g0141500"
"102","Os05g0150700"
"103","Os01g0554900"
"104","Os06g0344100"
"105","Os12g0137700"
"106","Os02g0775600"
"107","Os11g0118300"
"108","Os02g0820900"
"109","Os04g0412500"
"110","Os02g0555300"
"111","Os09g0570800"
"112","Os08g0563400"
"113","Os01g0923700"
"114","Os03g0341300"
"115","Os07g0523600"
"116","Os01g0110100"
"117","Os03g0794300"
"118","Os04g0219900"
"119","Os04g0195800"
"120","Os02g0820900"
"121","Os12g0580600"
"122","Os01g0209800"
"123","Os04g0108900"
"124","Os01g0286900"
"125","Os06g0248500"
"126","Os10g0531400"
"127","Os04g0573900"
"128","Os02g0614700"
"129","Os10g0390800"
"130","Os11g0192600"
"131","Os12g0628100"
"132","Os01g0847100"
"133","Os06g0676000"
"134","Os03g0576900"
"135","Os02g0700500"
"136","Os11g0230900"
"137","Os01g0309800"
"138","Os08g0149600"
"139","Os02g0684100"
"140","Os02g0689500"
"141","Os09g0248900"
"142","Os02g0594700"
"143","Os03g0359600"
"144","Os02g0657000"
"145","Os09g0558000"
"146","Os02g0139000"
"147","Os05g0316800"
"148","Os02g0511400"
"149","Os08g0327900"
"150","Os04g0529100"
"151","Os11g0118300"
"152","Os04g0508500"
"153","Os03g0841400"
