"","name"
"1","Os03g0745000"
"2","Os10g0190000"
"3","Os07g0640300"
"4","Os12g0608900"
"5","Os01g0642000"
"6","Os08g0320900"
"7","osa-miR530"
"8","Os04g0595000"
"9","Os03g0758900"
"10","Os04g0442300"
"11","osa-miR395h"
"12","Os01g0197600"
"13","Os01g0780800"
"14","Os07g0194100"
"15","osa-miR169o"
"16","POsControl0039"
"17","Os03g0323300"
"18","Os09g0545300"
"19","Os02g0174500"
"20","osa-miR443"
"21","Os09g0504700"
"22","Os01g0197700"
"23","Os11g0620500"
"24","Os03g0788400"
"25","Os11g0143300"
"26","Os05g0296900"
"27","Os08g0128400"
"28","Os02g0150200"
"29","Os02g0738100"
"30","Os04g0673300"
"31","Os05g0368700"
"32","osa-miR399c"
"33","Os11g0143300"
"34","Os08g0419200"
"35","osa-miR395u"
"36","Os01g0940000"
"37","PGmControl0001"
"38","POsControl0012"
"39","Os08g0225400"
"40","Os12g0139400"
"41","Os06g0641100"
"42","Os08g0470000"
"43","Os06g0228600"
"44","Os02g0232100"
"45","Os04g0162600"
"46","Os01g0593300"
"47","Os08g0531700"
"48","Os09g0498200"
"49","PZmControl0002"
"50","Os03g0347100"
"51","Os09g0322100"
"52","Os01g0326100"
"53","Os09g0559200"
"54","Os01g0196300"
"55","Os04g0191600"
"56","Os10g0451700"
"57","Os08g0230800"
"58","Os03g0772900"
"59","osa-miR395i"
"60","Os06g0515400"
"61","osa-miR390"
"62","Os07g0688300"
"63","osa-miR395r"
"64","Os05g0249900"
"65","osa-miR395s"
"66","Os09g0321000"
"67","Os09g0453200"
"68","Os05g0376000"
"69","Os09g0330200"
"70","POsControl0033"
"71","Os01g0740000"
"72","Os05g0394000"
"73","Os04g0633900"
"74","Os06g0543500"
"75","Os08g0449400"
"76","Os09g0415000"
"77","Os08g0345500"
"78","Os04g0552400"
"79","osa-miR395w"
"80","Os10g0177300"
"81","Os01g0887400"
"82","Os08g0105700"
"83","Os10g0483500"
"84","Os05g0374500"
"85","Os09g0324300"
"86","Os10g0474300"
"87","Os08g0282700"
"88","PGmControl0001"
"89","Os03g0757100"
"90","osa-miR159d"
"91","Os10g0358100"
"92","Os02g0694700"
"93","Os03g0648200"
"94","Os04g0308500"
"95","Os06g0147700"
"96","Os11g0439400"
"97","Os01g0722300"
"98","Os04g0169100"
"99","Os07g0593200"
"100","Os01g0283500"
"101","Os08g0315200"
"102","Os04g0668400"
"103","Os01g0160200"
"104","Os10g0458900"
"105","Os12g0621500"
"106","Os06g0542700"
"107","osa-miR162b"
"108","Os05g0280700"
"109","Os07g0296000"
"110","Os01g0790200"
"111","osa-miR395a"
"112","Os03g0259500"
"113","Os11g0644900"
"114","Os04g0514500"
"115","osa-miR169p"
"116","Os10g0190000"
"117","Os02g0237000"
"118","Os11g0647800"
"119","PTaControl0001"
"120","Os09g0344500"
"121","Os03g0745000"
"122","Os12g0606000"
"123","Os04g0317500"
"124","Os12g0507300"
"125","Os11g0276000"
"126","Os11g0625200"
"127","Os06g0656800"
"128","Os11g0541800"
"129","Os01g0264100"
"130","Os03g0566500"
"131","Os02g0786300"
"132","Os03g0616300"
"133","Os08g0119300"
"134","Os01g0752500"
"135","Os04g0165200"
"136","Os04g0442300"
"137","Os01g0187300"
"138","Os10g0427600"
"139","Os12g0420100"
"140","Os08g0375700"
"141","Os08g0242400"
"142","Os10g0190000"
"143","Os11g0579200"
"144","Os04g0184700"
"145","Os07g0499900"
"146","Os11g0595000"
"147","Os09g0555700"
"148","osa-miR441b"
"149","Os02g0583300"
"150","Os06g0174800"
"151","Os01g0915300"
"152","Os08g0299600"
"153","Os05g0158600"
"154","Os03g0837700"
"155","Os02g0506500"
"156","Os02g0160100"
"157","Os05g0258400"
"158","Os01g0652100"
"159","Os10g0547800"
"160","PTaControl0001"
"161","Os07g0630900"
"162","Os02g0774800"
"163","Os02g0492000"
"164","Os05g0399700"
"165","Os03g0250900"
"166","Os09g0249100"
"167","Os11g0173100"
"168","Os05g0399700"
"169","Os04g0438200"
"170","Os06g0521500"
"171","osa-miR395k"
"172","Os06g0304700"
"173","Os05g0163900"
"174","Os11g0154300"
"175","Os12g0140700"
"176","Os02g0215900"
"177","Os04g0650200"
"178","Os02g0219000"
"179","Os04g0437000"
"180","Os02g0605000"
"181","Os08g0167000"
"182","Os07g0580700"
"183","Os12g0132500"
"184","Os11g0519100"
"185","Os10g0432400"
"186","Os05g0595800"
"187","Os06g0668000"
"188","Os09g0457400"
"189","Os11g0652600"
"190","Os03g0133100"
"191","Os04g0126800"
"192","osa-miR442"
"193","Os08g0459400"
"194","Os01g0219500"
"195","Os10g0563100"
"196","Os03g0722000"
"197","Os09g0300100"
"198","Os03g0399000"
"199","Os05g0502800"
"200","Os08g0466200"
"201","Os04g0657100"
"202","Os08g0461100"
"203","Os07g0603700"
"204","Os11g0591000"
"205","Os01g0564600"
"206","Os07g0638300"
"207","Os08g0113600"
"208","Os02g0801000"
"209","Os04g0253200"
"210","Os11g0702300"
"211","Os01g0229100"
"212","Os03g0685800"
"213","osa-miR395l"
"214","Os11g0517800"
"215","osa-miR171e"
"216","Os07g0287800"
"217","osa-miR415"
"218","Os01g0952500"
"219","Os02g0189900"
"220","Os11g0582500"
"221","Os10g0130200"
"222","Os04g0650200"
"223","Os10g0427300"
"224","Os06g0609400"
"225","Os01g0584900"
"226","Os12g0582900"
"227","Os10g0530700"
"228","Os03g0349800"
"229","Os03g0599500"
"230","Os08g0371900"
"231","Os02g0703800"
"232","Os05g0435300"
"233","Os04g0626300"
"234","Os06g0133900"
"235","Os09g0545000"
"236","Os01g0688800"
"237","Os01g0919600"
"238","Os04g0621700"
"239","Os12g0148700"
"240","Os08g0219800"
"241","Os10g0487200"
"242","Os02g0557800"
"243","Os06g0179900"
"244","Os02g0103600"
"245","Os10g0479800"
"246","Os04g0362300"
"247","Os03g0365900"
"248","Os08g0127900"
"249","Os05g0241300"
"250","osa-miR395b"
"251","Os05g0311900"
"252","Os11g0251700"
"253","Os09g0273800"
"254","Os07g0684900"
"255","Os01g0116000"
"256","Os06g0220500"
"257","Os04g0495000"
"258","Os01g0670600"
"259","Os04g0389800"
"260","Os01g0314000"
"261","Os02g0298600"
"262","Os11g0500100"
"263","osa-miR168b"
"264","Os02g0557800"
"265","Os10g0542100"
"266","Os08g0226800"
"267","Os10g0193500"
"268","Os03g0321800"
"269","Os06g0611900"
"270","osa-miR156b"
"271","Os02g0665300"
"272","Os03g0783100"
"273","Os01g0678400"
"274","PTaControl0001"
"275","Os03g0432100"
"276","Os03g0275100"
"277","Os01g0224100"
"278","Os05g0188900"
"279","Os07g0218700"
"280","Os01g0909300"
"281","Os01g0596000"
"282","Os12g0592300"
"283","Os11g0648400"
"284","Os08g0560700"
"285","Os04g0583200"
"286","Os06g0248300"
"287","Os09g0548300"
"288","Os09g0488100"
"289","Os06g0726500"
"290","osa-miR166f"
"291","Os06g0128800"
"292","Os10g0118000"
