"","name"
"Os02g0578100|CI195476|NA|CI195476","Os02g0578100"
"Os09g0518200|AK121725|NA|AK121725","Os09g0518200"
"Os09g0522200|AK105599|NA|AK105599","Os09g0522200"
"Os09g0522200|AF494422|NA|AF494422","Os09g0522200"
"Os01g0948200|CI490314|NA|CI490314","Os01g0948200"
"Os09g0522200|AF300970|NA|AF300970","Os09g0522200"
"Os09g0518200|AK064395|NA|AK064395","Os09g0518200"
"Os09g0522200|AK071519|NA|AK071519","Os09g0522200"
"osa-miR156l|Os04|NA|osa-miR156l","osa-miR156l"
"Os09g0522200|AY345233|NA|AY345233","Os09g0522200"
"Os05g0129800|Os05g0129800|NA|Os05g0129800","Os05g0129800"
