"","name"
"1","Os05g0542500"
"2","Os09g0344500"
"3","Os03g0745000"
"4","Os06g0611900"
"5","Os01g0171200"
"6","Os10g0207500"
"7","Os10g0499900"
"8","osa-miR171c"
"9","Os05g0280700"
"10","Os03g0837700"
"11","Os05g0551700"
"12","osa-miR395d"
"13","Os07g0214600"
"14","Os07g0422100"
"15","Os01g0696600"
"16","Os12g0608900"
"17","Os03g0749800"
"18","Os03g0712400"
"19","Os03g0445000"
"20","Os08g0203700"
"21","Os08g0213100"
"22","osa-miR530"
"23","Os04g0635300"
"24","Os01g0364900"
"25","Os08g0353700"
"26","Os09g0555700"
"27","Os01g0584900"
"28","Os07g0638300"
"29","Os04g0208200"
"30","osa-miR399d"
"31","osa-miR395l"
"32","Os02g0315600"
"33","osa-miR169n"
"34","Os11g0514500"
"35","Os07g0129200"
"36","Os08g0198100"
"37","Os06g0358800"
"38","Os02g0528000"
"39","Os08g0201100"
"40","Os05g0374500"
"41","Os04g0445100"
"42","Os03g0715600"
"43","Os07g0538700"
"44","Os03g0807000"
"45","Os11g0154300"
"46","Os02g0506500"
"47","Os11g0579200"
"48","Os05g0355100"
"49","Os10g0486000"
"50","Os06g0668000"
"51","Os08g0127900"
"52","Os02g0665300"
"53","Os10g0190000"
"54","Os08g0531700"
"55","Os07g0640300"
"56","Os05g0233900"
"57","Os01g0137800"
"58","osa-miR395h"
"59","osa-miR416"
"60","Os09g0267500"
"61","Os01g0976700"
"62","Os02g0786300"
"63","Os12g0145200"
"64","Os02g0615400"
"65","Os12g0262000"
"66","Os08g0411800"
"67","Os01g0935300"
"68","Os01g0515300"
"69","Os08g0196900"
"70","Os01g0618300"
"71","Os07g0287800"
"72","osa-miR399d"
"73","Os08g0248100"
"74","osa-miR166f"
"75","Os10g0549700"
"76","Os02g0608100"
"77","Os08g0435800"
"78","Os10g0416500"
"79","Os01g0705800"
"80","osa-miR395m"
"81","Os11g0582500"
"82","Os04g0268300"
"83","Os01g0558100"
"84","osa-miR395j"
"85","Os03g0622300"
"86","Os01g0674600"
"87","Os05g0588700"
"88","osa-miR395r"
"89","Os05g0528300"
"90","Os05g0438300"
"91","Os03g0702000"
"92","Os05g0180800"
"93","Os01g0224000"
"94","Os11g0451700"
"95","Os06g0141800"
"96","Os01g0283500"
"97","Os10g0124700"
"98","Os07g0192700"
"99","Os09g0273800"
"100","osa-miR171e"
"101","Os01g0642000"
"102","Os06g0542700"
"103","Os03g0236200"
"104","Os10g0100200"
"105","Os02g0231500"
"106","Os11g0592000"
"107","osa-miR159e"
"108","Os06g0271400"
"109","Os03g0133100"
"110","Os07g0555100"
"111","Os03g0424000"
"112","osa-miR167d"
"113","Os07g0141100"
"114","Os08g0220600"
"115","osa-miR169o"
"116","Os11g0227600"
"117","osa-miR395p"
"118","Os06g0641100"
"119","Os01g0163000"
"120","Os02g0694600"
"121","Os10g0323500"
"122","Os11g0682000"
"123","Os05g0493800"
"124","Os11g0664000"
"125","Os01g0890800"
"126","osa-miR162b"
"127","Os06g0569700"
"128","Os09g0250200"
"129","Os02g0506400"
"130","Os02g0120500"
"131","PTaControl0001"
"132","Os01g0308200"
"133","Os03g0320800"
"134","Os08g0226300"
"135","Os01g0724700"
"136","Os08g0266700"
"137","osa-miR160f"
"138","Os04g0684300"
"139","Os06g0473800"
"140","Os07g0185600"
"141","Os06g0150300"
"142","Os05g0100100"
"143","Os01g0382000"
"144","Os07g0509800"
"145","Os11g0158200"
"146","Os07g0177100"
"147","Os01g0195100"
"148","Os02g0211500"
"149","Os08g0372900"
