"","x"
"1","Os03g0745000"
"2","Os11g0506800"
"3","Os06g0215500"
"4","Os10g0520100"
"5","Os01g0102900"
"6","Os07g0526600"
"7","Os10g0415300"
"8","Os03g0154000"
"9","Os01g0860500"
"10","Os02g0720400"
"11","Os01g0698800"
"12","Os03g0838800"
"13","Os01g0681900"
"14","Os10g0368100"
"15","Os03g0183500"
"16","Os01g0663300"
"17","Os10g0481300"
"18","Os05g0186300"
"19","Os02g0626600"
"20","Os09g0518200"
"21","Os03g0437100"
"22","Os03g0339900"
"23","Os05g0132700"
"24","Os05g0162000"
"25","Os06g0216200"
"26","Os06g0507300"
"27","Os04g0639000"
"28","Os04g0655400"
"29","Os07g0170000"
"30","Os02g0582600"
"31","Os10g0525800"
"32","Os08g0137900"
"33","Os01g0237100"
"34","Os02g0818900"
"35","Os01g0882100"
"36","Os02g0686100"
"37","Os08g0520600"
"38","Os02g0744200"
"39","Os03g0338000"
"40","Os06g0216300"
"41","Os02g0532900"
"42","Os01g0952900"
"43","Os03g0816700"
"44","Os08g0482600"
"45","Os11g0488100"
"46","Os02g0803300"
"47","Os07g0559700"
"48","Os03g0741100"
"49","Os01g0102500"
"50","Os06g0693100"
"51","Os06g0604200"
"52","Os03g0191900"
"53","Os10g0528300"
"54","Os03g0388600"
"55","Os10g0497700"
"56","Os12g0111600"
"57","Os09g0543900"
"58","Os02g0129300"
"59","Os12g0209800"
"60","Os06g0728700"
"61","Os08g0563200"
"62","Os03g0638900"
"63","Os01g0521600"
"64","Os03g0280400"
"65","Os02g0467000"
"66","Os01g0841700"
"67","Os08g0557600"
"68","Os10g0530600"
"69","Os10g0445400"
"70","Os02g0618100"
"71","Os07g0635500"
"72","Os10g0415100"
"73","Os04g0301500"
"74","Os03g0285200"
"75","Os10g0147200"
"76","Os04g0581100"
"77","Os04g0653600"
"78","Os02g0630300"
"79","Os03g0236200"
"80","Os01g0195700"
"81","Os11g0687000"
"82","Os09g0502500"
"83","Os02g0609200"
"84","Os08g0562300"
"85","Os04g0553800"
"86","Os03g0860100"
"87","Os01g0311800"
"88","Os08g0114200"
"89","Os03g0676400"
"90","Os02g0467600"
"91","Os02g0572400"
"92","Os12g0576600"
"93","Os09g0489500"
"94","Os10g0547500"
"95","Os09g0439200"
"96","Os01g0894600"
"97","Os05g0591600"
"98","Os01g0579600"
"99","Os02g0782900"
"100","Os10g0528400"
"101","Os01g0826400"
"102","Os11g0528600"
"103","Os05g0596500"
"104","Os08g0376600"
"105","Os05g0577700"
"106","Os12g0190000"
"107","Os01g0551800"
"108","Os08g0540900"
"109","Os02g0491600"
"110","Os01g0637800"
"111","Os05g0438500"
"112","Os09g0445600"
"113","Os06g0215100"
"114","Os02g0525600"
"115","Os02g0270200"
"116","Os08g0357000"
"117","Os01g0723800"
"118","Os06g0216000"
"119","Os04g0659200"
"120","Os11g0666100"
"121","Os03g0679700"
"122","Os02g0815700"
"123","Os03g0120400"
"124","Os04g0536500"
"125","Os06g0107800"
"126","Os01g0784500"
"127","Os03g0800000"
"128","Os03g0437200"
"129","Os09g0561600"
"130","Os11g0182100"
"131","Os09g0461500"
"132","Os01g0742400"
"133","Os05g0561600"
"134","Os02g0685200"
"135","Os05g0165500"
"136","Os01g0834900"
"137","Os04g0627300"
"138","Os08g0448000"
"139","Os10g0468500"
"140","Os06g0109300"
"141","Os12g0168100"
"142","Os04g0583900"
"143","Os07g0179500"
"144","Os05g0510600"
"145","Os03g0802500"
"146","Os03g0102600"
"147","Os02g0573500"
"148","Os06g0215900"
"149","Os10g0330400"
"150","Os09g0341600"
"151","Os07g0158800"
"152","Os09g0378700"
"153","Os04g0600200"
"154","Os03g0700700"
"155","Os04g0406600"
"156","Os04g0447100"
"157","Os09g0499500"
"158","Os06g0542300"
"159","Os03g0709300"
"160","Os04g0568700"
"161","Os07g0131600"
"162","Os08g0243500"
"163","Os07g0101300"
"164","Os08g0162700"
"165","Os02g0539200"
"166","Os07g0194800"
"167","Os01g0121300"
"168","Os08g0539700"
"169","Os01g0680200"
"170","Os02g0651900"
"171","Os08g0517700"
"172","Os01g0975000"
"173","Os09g0453300"
"174","Os08g0246100"
"175","Os07g0588400"
"176","Os02g0605900"
"177","Os03g0409100"
"178","Os09g0308900"
"179","Os07g0154100"
"180","Os11g0168600"
"181","Os11g0188900"
"182","Os11g0153300"
"183","Os04g0452600"
"184","Os09g0297900"
"185","Os06g0112700"
"186","Os03g0239300"
"187","Os05g0442400"
"188","Os01g0593200"
"189","Os02g0787600"
"190","Os03g0617500"
"191","Os03g0795600"
"192","Os03g0221600"
"193","Os01g0369700"
"194","Os07g0561800"
"195","Os02g0122800"
"196","Os03g0839200"
"197","Os01g0953100"
"198","Os01g0185300"
"199","Os01g0247700"
"200","Os08g0177400"
"201","Os09g0543400"
"202","Os05g0474800"
"203","Os02g0699000"
"204","Os05g0434800"
"205","Os04g0574100"
"206","Os01g0308300"
"207","Os03g0820300"
"208","Os08g0270400"
"209","Os02g0665800"
"210","Os10g0122500"
"211","Os05g0449200"
"212","Os07g0603700"
"213","Os07g0407900"
"214","Os04g0395800"
"215","Os07g0469200"
"216","Os01g0185900"
"217","Os05g0442000"
"218","Os06g0649000"
"219","Os02g0654700"
"220","Os10g0544600"
"221","Os07g0419100"
"222","Os10g0516900"
"223","Os06g0717900"
"224","Os01g0623500"
"225","Os11g0184900"
"226","Os02g0592400"
"227","Os04g0272200"
"228","Os10g0560000"
"229","Os02g0191800"
"230","Os03g0187800"
"231","Os01g0761300"
"232","Os11g0700500"
"233","Os02g0704000"
"234","Os01g0504100"
"235","Os09g0474000"
"236","Os07g0519300"
"237","Os03g0181100"
"238","Os09g0306400"
"239","Os07g0646800"
"240","Os11g0150100"
"241","Os12g0283400"
"242","Os06g0571800"
"243","Os01g0783200"
"244","Os04g0541700"
"245","Os05g0500000"
"246","Os01g0609300"
"247","Os02g0814000"
"248","Os04g0556000"
"249","Os08g0408500"
"250","Os03g0820200"
"251","Os05g0479800"
"252","Os01g0878000"
"253","Os03g0122300"
"254","Os04g0188500"
"255","Os01g0179000"
"256","Os01g0757200"
"257","Os05g0223000"
"258","Os01g0917400"
"259","Os11g0156600"
"260","Os07g0537900"
"261","Os06g0136900"
"262","Os06g0718100"
"263","Os04g0518400"
"264","Os03g0225900"
"265","Os01g0678400"
"266","Os07g0583600"
"267","Os12g0150200"
"268","Os02g0759400"
"269","Os01g0609200"
"270","Os04g0620800"
"271","Os02g0803400"
"272","Os10g0482900"
"273","Os09g0341500"
"274","Os02g0314600"
"275","Os07g0664400"
"276","Os11g0483000"
"277","Os09g0533600"
"278","Os09g0505400"
"279","Os01g0687400"
"280","Os12g0222000"
"281","Os02g0205500"
"282","Os08g0485400"
"283","Os02g0126300"
"284","Os04g0468600"
"285","Os06g0255900"
"286","Os02g0719600"
"287","Os11g0270000"
"288","Os03g0737000"
"289","Os03g0442900"
"290","Os02g0180700"
"291","Os05g0397300"
"292","Os11g0120300"
"293","Os06g0692600"
"294","Os07g0516700"
"295","Os01g0353400"
"296","Os08g0514000"
"297","Os09g0365900"
"298","Os06g0195800"
"299","Os05g0522600"
"300","Os06g0687200"
"301","Os01g0835700"
"302","Os02g0820800"
"303","Os02g0601800"
"304","Os10g0392400"
"305","Os08g0277200"
"306","Os03g0343400"
"307","Os03g0129400"
"308","Os02g0671300"
"309","Os05g0138000"
"310","Os02g0466400"
"311","Os03g0364400"
"312","Os08g0108700"
"313","Os07g0643700"
"314","Os03g0650900"
"315","Os03g0798500"
"316","Os09g0465400"
"317","Os01g0686300"
"318","Os05g0525900"
"319","Os01g0975300"
