"","name"
"1","Os01g0609300"
"2","Os01g0627500"
"3","Os07g0410300"
"4","Os04g0497000"
"5","Os09g0554300"
"6","Os07g0597200"
"7","Os06g0216300"
"8","Os01g0826400"
"9","Os10g0517500"
"10","Os06g0649000"
"11","Os04g0111200"
"12","Os06g0216200"
"13","Os04g0497000"
"14","Os06g0216300"
"15","Os01g0826400"
"16","Os07g0225300"
"17","Os02g0181300"
"18","Os03g0402800"
"19","Os09g0341600"
"20","Os03g0283200"
"21","Os06g0216300"
"22","Os03g0402800"
"23","Os03g0351700"
"24","Os02g0561800"
"25","Os03g0310800"
"26","Os06g0507300"
"27","Os02g0654700"
"28","Os01g0631800"
"29","Os10g0568900"
"30","Os07g0162400"
"31","Os03g0180900"
"32","Os02g0560200"
"33","Os02g0193300"
"34","Os05g0343400"
"35","Os07g0583600"
"36","Os02g0209300"
"37","Os10g0415300"
"38","Os02g0624300"
"39","Os10g0365200"
"40","Os12g0283400"
"41","Os01g0369700"
"42","Os01g0699500"
"43","Os02g0572400"
"44","Os07g0635500"
"45","Os01g0369700"
"46","Os03g0123800"
"47","Os02g0561800"
"48","Os02g0620400"
"49","Os02g0318100"
"50","Os01g0369700"
"51","Os07g0583600"
"52","Os10g0568900"
"53","Os03g0181100"
"54","Os05g0576600"
"55","Os01g0868000"
"56","Os02g0561400"
"57","Os07g0583600"
"58","Os10g0517500"
"59","Os08g0448000"
"60","Os07g0635500"
"61","Os06g0282000"
"62","Os02g0572400"
"63","Os07g0688200"
"64","Os06g0218300"
"65","Os03g0815100"
"66","Os01g0186000"
"67","Os03g0310800"
"68","Os05g0530400"
"69","Os09g0367700"
"70","Os03g0820400"
"71","Os04g0527000"
"72","Os07g0583600"
"73","Os07g0583600"
"74","Os02g0561000"
"75","Os06g0216300"
"76","Os04g0527000"
"77","Os02g0526400"
"78","Os02g0559800"
"79","Os02g0561900"
"80","Os03g0181100"
"81","Os03g0760200"
"82","Os01g0882800"
"83","Os11g0153300"
"84","Os04g0527000"
"85","Os03g0829200"
"86","Os09g0522200"
"87","Os05g0149300"
"88","Os08g0374600"
"89","Os10g0525500"
"90","Os09g0518200"
"91","Os01g0369700"
"92","Os06g0666400"
"93","Os09g0454600"
"94","Os10g0517500"
"95","Os04g0556500"
"96","Os01g0884300"
"97","Os02g0188000"
"98","Os01g0627500"
"99","Os03g0107700"
"100","Os04g0677300"
"101","Os06g0107800"
"102","Os06g0248500"
"103","Os01g0627500"
"104","Os09g0367700"
"105","Os09g0522200"
"106","Os10g0422600"
"107","Os01g0884300"
"108","Os01g0628700"
"109","Os06g0649000"
"110","Os03g0815100"
"111","Os03g0815100"
"112","Os03g0820400"
"113","Os03g0188100"
"114","Os06g0215600"
"115","Os07g0600100"
"116","Os06g0215600"
"117","Os05g0586200"
"118","Os02g0560200"
"119","Os03g0609500"
"120","Os08g0545500"
"121","Os09g0341500"
"122","Os03g0815100"
"123","Os02g0208300"
"124","Os04g0488700"
"125","Os02g0834600"
"126","Os08g0485400"
"127","Os09g0522200"
"128","Os09g0332700"
"129","Os01g0353400"
"130","Os01g0141000"
"131","Os01g0847100"
"132","Os07g0418500"
"133","Os01g0720700"
"134","Os01g0342900"
"135","Os04g0447100"
"136","Os07g0225300"
"137","Os09g0522200"
"138","Os03g0701200"
"139","Os04g0655300"
"140","Os02g0560600"
"141","Os01g0383700"
"142","Os09g0367700"
"143","Os07g0516300"
"144","Os02g0585100"
"145","Os02g0678200"
"146","Os01g0826400"
"147","Os04g0450900"
"148","Os03g0701200"
"149","Os09g0542900"
"150","Os05g0589400"
"151","Os01g0639600"
"152","Os01g0638000"
"153","Os01g0905300"
"154","Os12g0635700"
"155","Os07g0516300"
"156","Os03g0815100"
"157","Os03g0571900"
"158","Os11g0182200"
"159","Os09g0332700"
"160","Os03g0726500"
"161","Os11g0126900"
"162","Os10g0529400"
"163","Os09g0468300"
"164","Os10g0513900"
"165","Os07g0142900"
"166","Os03g0701200"
"167","Os07g0142900"
"168","Os01g0955700"
"169","Os11g0182200"
"170","Os02g0173200"
"171","Os08g0153900"
"172","Os03g0152000"
"173","Os06g0192800"
"174","Os06g0673700"
"175","Os08g0482600"
"176","Os04g0600300"
"177","Os02g0561000"
"178","Os05g0164400"
"179","Os04g0450100"
"180","Os09g0522200"
"181","Os03g0796600"
"182","Os01g0638000"
"183","Os01g0816100"
"184","Os08g0246100"
"185","Os11g0700500"
"186","Os06g0604200"
"187","Os05g0578100"
"188","Os03g0341300"
"189","Os03g0326000"
"190","Os01g0837000"
"191","Os04g0600300"
"192","Os08g0546800"
"193","Os12g0120500"
"194","Os04g0650700"
"195","Os08g0111200"
"196","Os03g0339400"
"197","Os01g0955100"
"198","Os01g0609300"
"199","Os04g0639000"
"200","Os02g0705400"
"201","Os08g0481400"
"202","Os11g0153300"
"203","Os03g0781300"
"204","Os09g0522000"
"205","Os07g0418500"
"206","Os06g0133400"
"207","Os11g0213800"
"208","Os07g0419100"
"209","Os05g0332600"
"210","Os05g0537100"
"211","Os06g0239200"
"212","Os05g0495700"
"213","Os09g0437500"
"214","Os01g0176000"
"215","Os02g0734300"
"216","Os05g0127300"
"217","Os11g0182200"
"218","Os03g0767000"
"219","Os04g0385600"
"220","Os07g0141200"
"221","Os03g0760200"
"222","Os04g0650700"
"223","Os03g0726800"
"224","Os01g0893700"
"225","Os01g0609900"
"226","Os01g0699600"
"227","Os05g0527000"
"228","Os04g0451700"
"229","Os03g0741100"
"230","Os06g0215600"
"231","Os05g0589400"
"232","Os02g0759400"
"233","Os07g0168300"
"234","Os04g0578400"
"235","Os07g0664400"
"236","Os03g0232800"
"237","Os03g0188900"
"238","Os03g0326200"
"239","Os01g0627400"
"240","Os12g0438400"
"241","Os05g0127300"
"242","Os09g0437500"
"243","Os05g0522600"
"244","Os02g0759400"
"245","Os02g0224100"
"246","Os01g0637800"
"247","Os02g0704300"
"248","Os09g0240600"
"249","Os02g0532900"
"250","Os06g0146800"
"251","Os05g0183100"
"252","Os06g0215600"
"253","Os12g0199100"
"254","Os08g0143600"
"255","Os07g0170000"
"256","Os08g0111200"
"257","Os02g0734300"
"258","Os05g0495700"
"259","Os02g0526400"
"260","Os03g0123800"
"261","Os01g0848900"
"262","Os02g0584700"
"263","Os05g0104700"
"264","Os02g0483500"
"265","Os05g0427400"
"266","Os05g0586100"
"267","Os03g0258200"
"268","Os02g0190300"
"269","Os02g0224100"
"270","Os05g0332600"
"271","Os05g0530400"
"272","Os01g0609900"
"273","Os01g0266500"
"274","Os01g0186900"
"275","Os07g0663000"
"276","Os04g0623300"
"277","Os06g0714800"
"278","Os02g0740600"
"279","Os12g0150200"
"280","Os04g0546800"
"281","Os01g0685400"
"282","Os07g0584100"
"283","Os04g0525100"
"284","Os03g0767000"
"285","Os05g0161800"
"286","Os05g0560500"
"287","Os04g0398000"
"288","Os01g0609200"
"289","Os04g0623300"
"290","Os02g0636600"
"291","Os12g0617400"
"292","Os10g0392400"
"293","Os05g0180800"
"294","Os06g0329300"
"295","Os02g0532900"
"296","Os10g0573900"
"297","Os11g0696900"
"298","Os05g0534800"
"299","Os02g0627100"
"300","Os06g0215900"
"301","Os06g0191800"
"302","Os02g0575000"
"303","Os10g0499400"
"304","Os06g0714800"
"305","Os03g0188900"
"306","Os03g0764100"
"307","Os01g0528800"
"308","Os05g0421600"
"309","Os08g0402500"
"310","Os09g0492900"
"311","Os04g0447700"
"312","Os03g0232800"
"313","Os08g0538600"
"314","Os07g0168300"
"315","Os09g0555800"
"316","Os07g0545800"
"317","Os01g0954000"
"318","Os06g0103200"
"319","Os11g0121000"
"320","Os02g0223300"
"321","Os11g0135900"
"322","Os06g0215900"
"323","Os10g0530900"
"324","Os02g0654700"
"325","Os05g0541400"
"326","Os03g0820400"
"327","Os07g0168300"
"328","Os12g0181500"
"329","Os07g0584100"
"330","Os09g0493000"
"331","Os04g0517500"
"332","Os10g0467000"
"333","Os04g0506000"
"334","Os04g0368000"
"335","Os01g0847100"
"336","Os12g0610200"
