"","name"
"1","Os12g0582700"
"2","Os01g0699400"
"3","Os11g0154500"
"4","Os01g0264600"
"5","Os02g0569400"
"6","Os01g0944500"
"7","Os01g0584900"
"8","Os04g0121800"
"9","Os02g0179200"
"10","Os12g0511200"
"11","Os06g0493100"
"12","Os06g0591200"
"13","Os01g0834900"
"14","Os05g0181700"
"15","Os06g0493100"
"16","Os06g0591200"
"17","Os04g0540900"
"18","Os06g0128800"
"19","Os04g0538400"
"20","Os07g0188200"
"21","Os10g0570200"
"22","Os10g0542900"
"23","Os07g0603700"
"24","Os01g0699500"
"25","Os11g0542100"
"26","Os11g0525900"
"27","Os03g0233900"
"28","Os03g0719400"
"29","Os09g0441100"
"30","Os12g0282000"
"31","osa-miR443"
"32","Os10g0530600"
"33","Os10g0527800"
"34","Os01g0940700"
"35","Os04g0451700"
"36","Os11g0514500"
"37","Os09g0502500"
"38","Os01g0754300"
"39","Os03g0600600"
"40","Os05g0191500"
"41","Os11g0483000"
"42","Os04g0182300"
"43","Os12g0582700"
"44","Os02g0815100"
"45","Os05g0525900"
"46","Os01g0940700"
"47","Os08g0446800"
"48","Os12g0150200"
"49","Os01g0674600"
"50","Os03g0402800"
"51","Os04g0177100"
"52","Os03g0150500"
"53","Os03g0799300"
"54","Os01g0940700"
"55","Os03g0745100"
"56","Os01g0603800"
"57","Os11g0514800"
"58","Os03g0396900"
"59","Os01g0858200"
"60","Os02g0833500"
"61","Os07g0298900"
"62","Os01g0858200"
"63","Os12g0433100"
"64","Os01g0940700"
"65","Os03g0109000"
"66","Os06g0474300"
"67","Os02g0653900"
"68","Os08g0481000"
"69","Os02g0268600"
"70","Os03g0230000"
"71","Os04g0686500"
"72","Os05g0156900"
"73","Os12g0510500"
"74","Os03g0767000"
"75","Os04g0150300"
"76","Os11g0311900"
"77","Os01g0695800"
"78","Os02g0191200"
"79","Os05g0180800"
"80","Os10g0490800"
"81","Os11g0241000"
"82","Os09g0249100"
"83","Os10g0491000"
"84","Os03g0180800"
"85","Os03g0218400"
"86","Os08g0320200"
"87","Os03g0141100"
"88","Os05g0457200"
"89","Os01g0717000"
"90","Os09g0417800"
"91","Os03g0672000"
"92","Os03g0218400"
"93","Os02g0653900"
"94","Os04g0121800"
"95","Os10g0520000"
"96","Os03g0211400"
"97","Os08g0244100"
"98","Os08g0508700"
"99","Os06g0587300"
"100","Os03g0820300"
"101","Os02g0653900"
"102","Os02g0618400"
"103","Os01g0584900"
"104","Os03g0782300"
"105","Os04g0399300"
"106","Os01g0244200"
"107","Os02g0532900"
"108","Os06g0188600"
"109","Os08g0389500"
"110","Os07g0534500"
"111","Os05g0125900"
"112","Os05g0500200"
"113","Os10g0569600"
"114","Os02g0653900"
"115","Os06g0589300"
"116","Os08g0105800"
"117","Os04g0677400"
"118","Os09g0368500"
"119","Os06g0597600"
"120","Os01g0261400"
"121","osa-miR169m"
"122","Os09g0265800"
"123","Os04g0309900"
"124","Os03g0218400"
"125","Os09g0129500"
"126","Os04g0600300"
"127","Os03g0349100"
"128","Os02g0618400"
"129","Os09g0545300"
"130","Os04g0518200"
"131","Os06g0146500"
"132","Os01g0303100"
"133","Os07g0122100"
"134","Os03g0225100"
"135","Os01g0134700"
"136","Os05g0128100"
"137","Os01g0747300"
"138","Os01g0159800"
"139","Os12g0128300"
"140","Os01g0304500"
"141","Os04g0585900"
"142","Os03g0760500"
"143","Os12g0179700"
"144","Os03g0686400"
"145","Os03g0236200"
"146","Os01g0915000"
"147","Os09g0332600"
"148","Os05g0533400"
"149","Os01g0940000"
"150","Os02g0326500"
"151","Os10g0491000"
"152","Os01g0688700"
"153","Os05g0112900"
"154","Os02g0550800"
"155","Os01g0160800"
"156","Os12g0635400"
"157","Os12g0209000"
"158","Os04g0525100"
"159","Os01g0734800"
"160","Os10g0568100"
"161","Os06g0345200"
"162","Os11g0631800"
"163","Os10g0370700"
"164","Os01g0941400"
"165","Os04g0570600"
"166","Os02g0621600"
"167","Os05g0192100"
"168","Os03g0802500"
"169","osa-miR169e"
"170","Os01g0699100"
"171","Os04g0658200"
"172","Os03g0802500"
"173","Os10g0543400"
"174","Os05g0545300"
"175","Os10g0376900"
"176","Os06g0662900"
"177","Os04g0202700"
"178","Os02g0758000"
"179","Os07g0201500"
"180","Os01g0795300"
"181","Os06g0570400"
"182","Os10g0198900"
"183","Os02g0145500"
"184","Os07g0291800"
"185","Os04g0684900"
"186","osa-miR319a"
"187","Os01g0706200"
"188","Os10g0343000"
"189","Os11g0516800"
"190","Os06g0218900"
"191","Os01g0713200"
"192","Os03g0767000"
"193","Os05g0162800"
"194","Os09g0278200"
"195","Os05g0170600"
"196","Os10g0372100"
"197","Os05g0367500"
"198","Os01g0885500"
"199","Os04g0179200"
"200","Os06g0710200"
"201","Os05g0570200"
"202","Os01g0285200"
"203","Os05g0552700"
"204","Os01g0342900"
"205","Os02g0547100"
"206","Os07g0539900"
"207","Os11g0700500"
"208","Os01g0946700"
"209","Os02g0285900"
"210","Os03g0422800"
"211","Os06g0618000"
"212","Os06g0211300"
"213","Os01g0179000"
"214","Os07g0190000"
"215","Os10g0422600"
"216","Os01g0575200"
"217","Os08g0315000"
"218","Os10g0131000"
"219","Os10g0579800"
"220","Os01g0795200"
"221","Os06g0691400"
"222","Os06g0664500"
"223","Os03g0820200"
"224","Os11g0425900"
"225","Os01g0713200"
"226","Os02g0822500"
"227","Os03g0129800"
"228","Os01g0824800"
"229","Os05g0499800"
"230","Os10g0558700"
"231","Os04g0585900"
"232","Os01g0713200"
"233","Os04g0142400"
"234","Os06g0237600"
"235","Os03g0253600"
"236","Os03g0582000"
"237","Os12g0500400"
"238","Os12g0594000"
"239","Os05g0551700"
"240","Os03g0181100"
"241","Os05g0199500"
"242","Os02g0753500"
"243","Os04g0191600"
"244","Os09g0106700"
"245","Os05g0124800"
"246","osa-miR169a"
"247","Os01g0509900"
"248","Os06g0168500"
"249","Os04g0600300"
"250","Os09g0286800"
"251","Os01g0734800"
"252","Os02g0739400"
"253","Os08g0522100"
"254","Os11g0542100"
"255","Os12g0592900"
"256","Os12g0454300"
"257","Os03g0233900"
"258","Os09g0416800"
"259","Os01g0149700"
"260","Os04g0654500"
"261","Os01g0305300"
"262","Os07g0539900"
"263","Os09g0437500"
"264","Os08g0230600"
"265","Os01g0613800"
"266","Os03g0236200"
"267","Os07g0457200"
"268","Os07g0551300"
"269","Os01g0268600"
"270","Os05g0102000"
"271","Os10g0413900"
"272","Os02g0320800"
"273","Os07g0643700"
"274","Os09g0442100"
"275","Os07g0642200"
"276","Os03g0797300"
"277","Os02g0245200"
"278","Os07g0106200"
"279","Os10g0371100"
"280","Os03g0607400"
"281","Os08g0230800"
"282","Os02g0536100"
"283","Os08g0138400"
"284","Os12g0111400"
"285","Os01g0108600"
"286","Os05g0515200"
"287","osa-miR169c"
"288","osa-miR416"
"289","Os01g0186600"
"290","Os03g0283200"
"291","Os01g0704100"
"292","Os01g0863300"
"293","Os02g0686300"
"294","Os09g0437500"
"295","Os04g0580800"
"296","Os05g0494200"
"297","POsControl0008"
"298","Os10g0370100"
"299","Os03g0181100"
"300","osa-miR415"
"301","Os01g0713200"
"302","Os05g0567800"
"303","Os01g0346600"
"304","Os01g0674400"
"305","Os06g0721800"
"306","Os01g0108600"
"307","Os01g0127200"
"308","Os09g0341600"
"309","Os04g0684900"
"310","Os03g0179700"
"311","Os03g0700400"
"312","Os05g0494200"
"313","Os09g0449700"
"314","Os01g0917900"
"315","Os11g0671000"
"316","Os01g0588900"
"317","Os04g0667400"
"318","Os10g0569400"
"319","Os01g0713200"
"320","Os11g0660000"
"321","Os04g0392300"
"322","Os01g0549100"
"323","Os03g0142200"
"324","Os08g0451400"
"325","Os06g0602400"
"326","Os06g0121800"
"327","Os09g0536200"
"328","Os04g0206500"
"329","Os02g0612200"
"330","Os06g0126500"
"331","Os09g0453300"
"332","osa-miR399e"
"333","Os03g0348200"
"334","Os03g0808000"
"335","Os02g0533700"
"336","Os01g0716500"
"337","Os01g0796700"
"338","Os04g0587400"
"339","Os04g0503200"
"340","Os10g0450900"
"341","Os02g0603000"
"342","Os01g0936700"
"343","Os01g0963000"
"344","Os01g0103100"
"345","Os11g0664000"
"346","Os09g0286600"
"347","Os11g0205800"
"348","Os01g0817400"
"349","Os04g0648000"
"350","Os06g0582600"
"351","Os09g0472100"
"352","Os04g0301500"
"353","Os04g0340100"
"354","Os12g0517400"
"355","Os07g0597200"
"356","Os09g0479400"
"357","Os06g0295500"
"358","Os04g0339800"
"359","Os06g0202800"
"360","Os12g0235700"
"361","Os06g0727900"
"362","osa-miR415"
"363","POsControl0035"
"364","Os07g0582400"
"365","Os05g0329000"
"366","Os05g0569300"
"367","Os02g0450400"
"368","Os07g0119300"
"369","Os11g0158300"
"370","Os04g0174100"
"371","Os11g0533800"
"372","Os02g0226400"
"373","Os04g0625200"
"374","Os01g0209700"
"375","Os07g0106200"
"376","osa-miR166g"
"377","Os04g0508500"
"378","Os05g0468900"
"379","Os10g0569400"
"380","Os04g0491500"
"381","Os04g0629300"
"382","Os08g0139700"
"383","Os03g0702000"
"384","Os05g0492600"
"385","Os03g0602400"
"386","Os01g0871800"
"387","Os08g0138900"
"388","Os01g0176300"
"389","Os01g0821600"
"390","Os01g0739200"
"391","osa-miR439a"
"392","Os08g0453200"
"393","Os12g0130300"
"394","Os08g0499400"
"395","Os03g0280800"
"396","Os01g0183300"
"397","Os04g0556500"
"398","Os05g0494200"
"399","Os06g0499500"
"400","Os03g0588600"
"401","Os09g0545700"
"402","Os03g0734500"
"403","Os09g0547900"
"404","Os03g0746900"
"405","Os12g0564100"
"406","Os03g0668000"
"407","Os10g0364900"
"408","Os05g0449600"
"409","Os04g0543600"
"410","Os07g0239600"
"411","Os04g0372100"
"412","Os02g0658500"
"413","Os09g0266100"
"414","Os05g0129700"
"415","Os04g0110400"
"416","Os03g0643900"
"417","Os03g0861200"
"418","Os03g0151500"
"419","Os08g0484200"
"420","Os06g0122800"
"421","Os06g0241400"
"422","Os05g0311500"
"423","Os02g0781900"
"424","Os06g0651000"
"425","Os03g0754500"
"426","Os01g0146200"
"427","Os01g0695900"
"428","Os05g0555600"
"429","Os05g0445100"
"430","Os02g0111800"
"431","Os07g0680400"
"432","Os05g0574100"
"433","Os10g0553300"
"434","Os02g0532900"
"435","Os03g0326100"
"436","Os08g0399500"
"437","Os06g0602500"
"438","Os12g0637400"
"439","Os01g0858200"
"440","Os08g0539200"
"441","Os06g0594600"
"442","Os02g0160400"
"443","Os03g0371000"
"444","Os12g0293000"
"445","Os08g0299300"
"446","Os04g0686800"
"447","Os10g0135500"
"448","Os03g0262000"
"449","Os05g0514600"
"450","Os05g0477900"
"451","Os01g0194000"
"452","Os07g0598300"
"453","Os06g0108900"
"454","Os04g0212200"
"455","Os01g0524100"
"456","Os02g0585200"
"457","Os01g0858200"
"458","Os01g0796000"
"459","Os11g0156000"
"460","Os02g0581200"
"461","Os02g0737600"
"462","Os01g0699600"
"463","Os08g0155900"
"464","Os04g0515900"
"465","Os01g0206700"
"466","Os01g0871900"
"467","Os03g0754300"
"468","Os02g0609500"
"469","Os09g0242700"
"470","Os11g0671000"
"471","Os01g0713200"
"472","Os11g0607200"
"473","Os08g0442200"
"474","Os01g0154300"
"475","Os02g0816600"
"476","Os10g0427900"
"477","osa-miR159e"
"478","Os06g0578700"
"479","Os01g0579600"
"480","Os04g0460600"
"481","Os06g0191200"
"482","Os12g0275200"
"483","Os10g0471700"
"484","Os05g0580100"
"485","Os12g0223000"
"486","Os07g0522500"
"487","Os11g0142400"
"488","Os04g0401100"
"489","Os01g0151400"
