Os01g0100100	AK242339
Os01g0100200	AK059894
Os01g0100300	AK365211
Os01g0100400	AK101455
Os01g0100466	tplb0021n10
Os01g0100500	AK067316
Os01g0100600	AK121362
Os01g0100650	EU948781
Os01g0100700	AK121523
Os01g0100800	AK122012
Os01g0100900	AK243573
Os01g0101150	ab
Os01g0101175	BT084741
Os01g0101200	AK067866
Os01g0101200	AK119457
Os01g0101300	AK287446
Os01g0101600	AK099952
Os01g0101600	AK122118
Os01g0101600	AK103820
Os01g0101700	FP098445
Os01g0101800	AK103498
Os01g0101850	tplb0054b05
Os01g0101900	AK333373
Os01g0102000	AK101065
Os01g0102300	AK067320
Os01g0102400	AK242226
Os01g0102500	AK100002
Os01g0102600	AK064812
Os01g0102600	AK062086
Os01g0102700	AK063774
Os01g0102800	AK064456
Os01g0102850	FP097470
Os01g0102900	AK120535
Os01g0103000	AK108287
Os01g0103050	AK066123
Os01g0103075	tplb0038k08
Os01g0103100	AK070557
Os01g0103100	AK058723
Os01g0103400	AK109199
Os01g0103600	AK102848
Os01g0103600	AK059848
Os01g0103650	AK242117
Os01g0103700	AK070525
Os01g0103800	AK102782
Os01g0103900	AK069975
Os01g0104000	AK103808
Os01g0104000	AK072087
Os01g0104100	AK072797
Os01g0104100	AK104280
Os01g0104200	ab
Os01g0104350	CT834982
Os01g0104400	AK071375
Os01g0104400	AK060132
Os01g0104400	AK104820
Os01g0104500	AK242268
Os01g0104600	AK100613
Os01g0104600	AK058683
Os01g0104800	AK067602
Os01g0104800	AK103287
Os01g0104900	AK121535
Os01g0104900	AK071797
Os01g0105300	AK072732
Os01g0105400	AK106913
Os01g0105700	AK119493
Os01g0105800	AK066672
Os01g0105900	AK066907
Os01g0106200	AK060999
Os01g0106300	AK098946
Os01g0106400	AK102701
Os01g0106500	AK242772
Os01g0106600	AK061314
Os01g0106700	ab
Os01g0106750	CT834789
Os01g0106800	AK059300
Os01g0106900	AK099702
Os01g0106900	AK059692
Os01g0107000	AK105067
Os01g0107000	AK066969
Os01g0107400	AK059460
Os01g0107700	AK070027
Os01g0107750	tplb0062k24
Os01g0107801	X06283
Os01g0107900	AK070363
Os01g0107900	AK058708
Os01g0108000	AK100813
Os01g0108200	BT065395
Os01g0108400	AK353822
Os01g0108500	AK071488
Os01g0108600	AK070332
Os01g0108600	AK109432
Os01g0108700	AK111316
Os01g0108800	AK102103
Os01g0109000	AK120074
Os01g0109201	AK241068
Os01g0109300	AK242985
Os01g0109366	CT834957
Os01g0109432	CT835511
Os01g0109500	AK058636
Os01g0109700	AK121497
Os01g0109750	AK242711
Os01g0110050	AK241522
Os01g0110100	AK242852
Os01g0110200	AK109646
Os01g0110400	AK101017
Os01g0110500	AK101096
Os01g0110600	tplb0028p02
Os01g0110700	AK100688
Os01g0110700	AK119573
Os01g0110800	AK065190
Os01g0111000	ab
Os01g0111100	AK065672
Os01g0111200	AK102802
Os01g0111300	AK105004
Os01g0111400	AK066455
Os01g0111400	AK067704
Os01g0111500	AK108587
Os01g0111600	AK110620
Os01g0111700	AK108920
Os01g0111800	AK059312
Os01g0111800	AK071433
Os01g0111900	AK103326
Os01g0112000	AK103623
Os01g0112050	AK287520
Os01g0112100	AK100946
Os01g0112201	AK240920
Os01g0112300	AK242069
Os01g0112400	AK106825
Os01g0112500	AK120201
Os01g0112500	AK058409
Os01g0112600	AK241069
Os01g0112800	AK367884
Os01g0113000	ab
Os01g0113150	AK367884
Os01g0113200	AK241355
Os01g0113300	AK111565
Os01g0113325	tplb0030a05
Os01g0113350	AK362159
Os01g0113400	AK073168
Os01g0113400	AK059374
Os01g0113450	tplb0030a05
Os01g0113500	AK243318
Os01g0113600	AK110685
Os01g0113600	AK106707
Os01g0113650	FP098335
Os01g0113700	AK376475
Os01g0113750	tplb0030a05
Os01g0113800	AK111700
Os01g0113900	AK068796
Os01g0113950	tplb0030a05
Os01g0114000	FP099421
Os01g0114050	EU941912
Os01g0114100	AK068451
Os01g0114150	tplb0030a05
Os01g0114200	AK099453
Os01g0114300	AK120121
Os01g0114400	AK376323
Os01g0114402	tplb0030a05
Os01g0114550	AK242624
Os01g0114600	ab
Os01g0114650	tplb0030a05
Os01g0114700	BT067108
Os01g0114800	AK070789
Os01g0114900	ab
Os01g0115100	AK242515
Os01g0115200	ab
Os01g0115300	AK107581
Os01g0115500	AK369477
Os01g0115533	tplb0030a05
Os01g0115566	ab
Os01g0115600	AK121074
Os01g0115700	AK353778
Os01g0115725	tplb0030a05
Os01g0115750	AK331027
Os01g0115752	tplb0030a05
Os01g0115800	AK120293
Os01g0115900	AK120121
Os01g0115950	tplb0030a05
Os01g0116000	AK364903
Os01g0116100	AK318568
Os01g0116101	tplb0030a05
Os01g0116200	AK074011
Os01g0116250	tplb0030a05
Os01g0116300	AK241651
Os01g0116400	AK066041
Os01g0116600	AK073254
Os01g0116600	AK121811
Os01g0116650	tplb0030a05
Os01g0116800	ab
Os01g0116900	AK356501
Os01g0116901	tplb0030a05
Os01g0117000	ab
Os01g0117025	tplb0030a05
Os01g0117050	AK242962
Os01g0117100	AK356501
Os01g0117200	AK120089
Os01g0117233	tplb0030a05
Os01g0117266	ab
Os01g0117300	AK356501
Os01g0117400	ab
Os01g0117450	tplb0030a05
Os01g0117500	AK368350
Os01g0117600	AK065867
Os01g0117650	tplb0030a05
Os01g0117700	ab
Os01g0117900	AK061369
Os01g0117900	AK104611
Os01g0117900	AK099425
Os01g0118000	AK059097
Os01g0118033	BT086897
Os01g0118066	AK288733
Os01g0118100	AK242944
Os01g0118300	AK065788
Os01g0118350	AK372087
Os01g0118400	AK318611
Os01g0118600	ab
Os01g0118700	AK070385
Os01g0119000	AK105948
Os01g0119000	AK071050
Os01g0119050	AK242411
Os01g0119100	ab
Os01g0119500	AK105256
Os01g0119800	AK105502
Os01g0120300	AK252909
Os01g0120400	AK067022
Os01g0120400	AK109436
Os01g0120500	AK070131
Os01g0120600	AK106261
Os01g0120700	AK067227
Os01g0120800	AK122166
Os01g0120800	AK121302
Os01g0120800	AK106560
Os01g0120800	AK073457
Os01g0120800	AK063986
Os01g0120800	AK072604
Os01g0121000	AK110709
Os01g0121100	AK100063
Os01g0121100	AK071475
Os01g0121200	AK108601
Os01g0121300	AK103404
Os01g0121400	tplb0026h09
Os01g0121500	AK107776
Os01g0121600	AK243657
Os01g0121700	AK120079
Os01g0121800	AK105432
Os01g0121800	AK069510
Os01g0121900	tplb0010l05
Os01g0121950	AK371775
Os01g0122000	AK109465
Os01g0122200	AK107171
Os01g0122367	AK365307
Os01g0122534	AK365307
Os01g0122701	ab
Os01g0123500	EU963819
Os01g0123700	EU965920
Os01g0123800	tplb0016p16
Os01g0123900	AK070467
Os01g0124000	AK065846
Os01g0124100	AK062394
Os01g0124200	AK104367
Os01g0124401	AK243607
Os01g0124550	tplb0062a03
Os01g0124600	ab
Os01g0124650	AK064050
Os01g0124700	AK108197
Os01g0124900	AK354079
Os01g0125000	AK354079
Os01g0125500	tplb0003d14
Os01g0125550	AK241859
Os01g0125600	AK103550
Os01g0125700	AK121965
Os01g0125800	AK121927
Os01g0125850	tplb0041e10
Os01g0125900	AK103631
Os01g0126000	AK109441
Os01g0126100	AK106990
Os01g0126200	AK121464
Os01g0126401	AK288786
Os01g0126600	AK065750
Os01g0126900	AK109876
Os01g0127000	AK105526
Os01g0127100	AK106749
Os01g0127200	AK243237
Os01g0127300	AK068846
Os01g0127400	AK356306
Os01g0127450	AJ601381
Os01g0127500	AK106870
Os01g0127600	AK102138
Os01g0127700	AK072972
Os01g0127900	AK070177
Os01g0128000	AK107424
Os01g0128100	AK071917
Os01g0128200	AK059608
Os01g0128250	AK120005
Os01g0128300	CT841996
Os01g0128400	AK121214
Os01g0128400	AK059332
Os01g0128700	AK061534
Os01g0128800	AK120447
Os01g0129200	AB297789
Os01g0129500	AK289168
Os01g0129550	AK287433
Os01g0129600	BT061404
Os01g0129800	AK107910
Os01g0130000	AK061853
Os01g0130000	AK060150
Os01g0130100	AK069315
Os01g0130200	ab
