Os01g0100100	RabGAP/TBC_domain_containing_protein.
Os01g0100200	Conserved_hypothetical_protein.
Os01g0100300	Cytochrome_P450_domain_containing_protein.
Os01g0100400	Similar_to_Pectinesterase_like protein.
Os01g0100466	Hypothetical_protein.
Os01g0100500	Immunoglobulin_like domain containing protein.
Os01g0100600	Single_stranded nucleic acid binding R3H domain containing protein.
Os01g0100650	Hypothetical_gene.
Os01g0100700	Similar_to_40S_ribosomal_protein_S5_1.
Os01g0100800	Protein_of_unknown_function_DUF1664_family_protein.
Os01g0100900	Sphingosine_1_phosphate lyase, Disease resistance response
Os01g0101150	Hypothetical_conserved_gene.
Os01g0101200	2,3_diketo_5_methylthio_1_phosphopentane phosphatase domain containing protein.
Os01g0101300	Similar_to_MRNA,_partial_cds,_clone:_RAFL22_26_L17. (Fragment).
Os01g0101600	Immunoglobulin_like fold domain containing protein.
Os01g0101600	Hypothetical_conserved_gene.
Os01g0101700	Similar_to_chaperone_protein_dnaJ_20.
Os01g0101800	Conserved_hypothetical_protein.
Os01g0101850	Hypothetical_protein.
Os01g0101900	Similar_to_OSIGBa0075F02.3_protein.
Os01g0102000	Phosphoesterase_family_protein.
Os01g0102300	Thylakoid_lumen_protein,_Photosynthesis_and_chloroplast_development
Os01g0102400	Histone_fold domain containing protein.
Os01g0102500	Conserved_hypothetical_protein.
Os01g0102600	Shikimate_kinase_domain_containing_protein.
Os01g0102600	Similar_to_shikimate_kinase_family_protein.
Os01g0102700	Translocon_associated beta family protein.
Os01g0102800	Similar_to_chromatin_remodeling_complex_subunit.
Os01g0102850	Similar_to_nitrilase_2.
Os01g0102900	Light_regulated protein, Regulation of light_dependent attachment of LEAF_TYPE FERREDOXIN_NADP+ OXIDOREDUCTASE (LFNR) to the thylakoid membrane
Os01g0103000	Snf7_family_protein.
Os01g0103075	Hypothetical_protein.
Os01g0103100	TGF_beta receptor, type I/II extracellular region family protein.
Os01g0103100	Similar_to_predicted_protein.
Os01g0103400	Hypothetical_gene.
Os01g0103600	Similar_to_sterol_8,7_isomerase.
Os01g0103600	Emopamil_binding family protein.
Os01g0103650	Hypothetical_gene.
Os01g0103700	Conserved_hypothetical_protein.
Os01g0103800	Conserved_hypothetical_protein.
Os01g0103900	Polynucleotidyl_transferase,_Ribonuclease_H_fold_domain_containing_protein.
Os01g0104000	C_type lectin domain containing protein.
Os01g0104000	Similar_to_predicted_protein.
Os01g0104100	Similar_to_protein_binding_/_zinc_ion_binding.
Os01g0104200	No_apical_meristem_(NAM)_protein_domain_containing_protein.
Os01g0104400	Ricin_B_related lectin domain containing protein.
Os01g0104500	No_apical_meristem_(NAM)_protein_domain_containing_protein.
Os01g0104600	Homolog_of_Arabidopsis_DE_ETIOLATED1 (DET1), Modulation of the ABA signaling pathway and ABA biosynthesis, Regulation of chlorophyll content
Os01g0104600	Similar_to_Light_mediated development protein DET1 (Deetiolated1 homolog) (tDET1) (High pigmentation protein 2) (Protein dark green).
Os01g0104800	Sas10/Utp3_family_protein.
Os01g0104800	Hypothetical_conserved_gene.
Os01g0104900	Transferase_family_protein.
Os01g0104900	Hypothetical_conserved_gene.
Os01g0105300	Similar_to_HAT_family_dimerisation_domain_containing_protein,_expressed.
Os01g0105400	Similar_to_Kinesin_heavy_chain.
Os01g0105700	Basic_helix_loop_helix dimerisation region bHLH domain containing protein.
Os01g0105800	Similar_to_Iron_sulfur_assembly_protein_1.
Os01g0105900	Carbohydrate/purine_kinase_domain_containing_protein.
Os01g0106200	Similar_to_RER1A_protein_(AtRER1A).
Os01g0106300	Similar_to_Isoflavone_reductase_homolog_IRL_(EC_1.3.1._).
Os01g0106400	Similar_to_Isoflavone_reductase_homolog_IRL_(EC_1.3.1._).
Os01g0106500	Conserved_hypothetical_protein.
Os01g0106600	Similar_to_Chitin_binding lectin 1 precursor (PL_I).
Os01g0106700	Hypothetical_conserved_gene.
Os01g0106800	Similar_to_RING_box protein 1A (Regulator of cullins 1a) (dRbx1).
Os01g0106900	Similar_to_1_deoxy_D_xylulose 5_phosphate reductoisomerase (Fragment).
Os01g0107000	Similar_to_peroxin_Pex14.
Os01g0107000	Peroxisome_membrane_anchor_protein_Pex14p,_N_terminal domain containing protein.
Os01g0107400	Conserved_hypothetical_protein.
Os01g0107700	Similar_to_LIMONENE_cyclase_like_protein.
Os01g0107750	Hypothetical_protein.
Os01g0107900	Protein_of_unknown_function_DUF3506_domain_containing_protein.
Os01g0108000	Conserved_hypothetical_protein.
Os01g0108200	Similar_to_Prolyl_endopeptidase_(EC_3.4.21.26)_(Post_proline cleaving enzyme) (PE).
Os01g0108400	Helix_loop_helix DNA_binding domain containing protein.
Os01g0108500	Protein_of_unknown_function_DUF3778_domain_containing_protein.
Os01g0108600	Basic_helix_loop_helix dimerisation region bHLH domain containing protein.
Os01g0108600	Hypothetical_conserved_gene.
Os01g0108700	Hypothetical_protein.
Os01g0108800	Protein_of_unknown_function_DUF936,_plant_family_protein.
Os01g0109000	Similar_to_Late_embryogenesis_abundant_protein,_group_3.
Os01g0109201	Hypothetical_gene.
Os01g0109300	Similar_to_predicted_protein.
Os01g0109366	Hypothetical_conserved_gene.
Os01g0109432	Hypothetical_gene.
Os01g0109500	Conserved_hypothetical_protein.
Os01g0109700	Similar_to_Paired_amphipathic_helix_repeat_containing protein / transcription regulator_related.
Os01g0109750	Paired_amphipathic_helix_domain_containing_protein.
Os01g0110050	Pi_homeostasis
Os01g0110100	Phosphate_(Pi)_transporter,_Pi_homeostasis
Os01g0110200	Conserved_hypothetical_protein.
Os01g0110400	Similar_to_Acetyl_CoA C_acetyltransferase.
Os01g0110500	Protein_kinase,_core_domain_containing_protein.
Os01g0110600	Hypothetical_protein.
Os01g0110700	Similar_to_Phosphoenolpyruvate_carboxylase_(EC_4.1.1.31).
Os01g0110700	Similar_to_Phosphoenolpyruvate_carboxylase.
Os01g0110800	Leucine_rich repeat, plant specific containing protein.
Os01g0111000	Pectinesterase_inhibitor_domain_containing_protein.
Os01g0111100	Cyclophilin_like domain containing protein.
Os01g0111200	Like_Sm ribonucleoprotein (LSM)_related domain domain containing protein.
Os01g0111300	Conserved_hypothetical_protein.
Os01g0111400	Zinc_finger,_BED_type predicted domain containing protein.
Os01g0111400	Similar_to_transposon_protein.
Os01g0111500	ROOT_HAIR_DEFECTIVE_SIX LIKE (RSL) class I basic helix_loop_helix protein, bHLH transcription factor, Regulation of root hair development
Os01g0111600	Similar_to_MOTHER_of_FT_and_TF1_protein.
Os01g0111700	Conserved_hypothetical_protein.
Os01g0111800	Conserved_hypothetical_protein.
Os01g0111900	Glutelin_family_protein.
Os01g0112000	Conserved_hypothetical_protein.
Os01g0112100	Conserved_hypothetical_protein.
Os01g0112201	Hypothetical_protein.
Os01g0112300	Hypothetical_conserved_gene.
Os01g0112400	Major_intrinsic_protein_family_protein.
Os01g0112500	Similar_to_Plakoglobin/armadillo/beta_catenin_like protein (Fragment).
Os01g0112600	Conserved_hypothetical_protein.
Os01g0112800	Disease_resistance_protein_domain_containing_protein.
Os01g0113000	Hypothetical_conserved_gene.
Os01g0113150	Disease_resistance_protein_domain_containing_protein.
Os01g0113200	Similar_to_Receptor_serine/threonine_kinase.
Os01g0113300	Similar_to_ARK_protein_(Fragment).
Os01g0113325	Hypothetical_protein.
Os01g0113350	Hypothetical_conserved_gene.
Os01g0113400	Similar_to_Receptor_like kinase.
Os01g0113450	Hypothetical_protein.
Os01g0113500	Similar_to_Receptor_like kinase.
Os01g0113600	Hypothetical_protein.
Os01g0113650	Hypothetical_conserved_gene.
Os01g0113700	Similar_to_Receptor_like kinase.
Os01g0113800	Protein_kinase,_core_domain_containing_protein.
Os01g0113900	Similar_to_Receptor_like protein kinase.
Os01g0113950	Hypothetical_protein.
Os01g0114000	Similar_to_H0315A08.1_protein.
Os01g0114100	Similar_to_Protein_kinase_RLK17.
Os01g0114200	Conserved_hypothetical_protein.
Os01g0114300	Similar_to_Receptor_like protein kinase (Fragment).
Os01g0114400	Similar_to_Receptor_like kinase.
Os01g0114402	Hypothetical_protein.
Os01g0114600	Similar_to_Receptor_like protein kinase.
Os01g0114700	Similar_to_Receptor_like kinase.
Os01g0114800	Similar_to_H0215A08.3_protein.
Os01g0114900	Similar_to_LRK14.
Os01g0115100	Hypothetical_conserved_gene.
Os01g0115200	Similar_to_OSIGBa0140C02.7_protein.
Os01g0115300	Hypothetical_gene.
Os01g0115500	Similar_to_Receptor_like kinase.
Os01g0115566	Similar_to_Receptor_like kinase.
Os01g0115600	Similar_to_LRK14.
Os01g0115700	Similar_to_Receptor_like kinase.
Os01g0115725	Hypothetical_protein.
Os01g0115750	Similar_to_Receptor_like protein kinase.
Os01g0115800	Similar_to_Receptor_like kinase.
Os01g0115900	Similar_to_Receptor_like protein kinase.
Os01g0115950	Hypothetical_protein.
Os01g0116000	Similar_to_Receptor_like protein kinase.
Os01g0116100	Conserved_hypothetical_protein.
Os01g0116101	Hypothetical_protein.
Os01g0116200	Protein_kinase,_core_domain_containing_protein.
Os01g0116250	Hypothetical_protein.
Os01g0116300	Similar_to_Receptor_like kinase.
Os01g0116400	Protein_kinase,_core_domain_containing_protein.
Os01g0116600	Eukaryotic_translation_elongation_factor_1_alpha_(eEF1A)_like protein, Negative regulation of cell death, Defense response
Os01g0116600	Similar_to_predicted_protein.
Os01g0116650	Hypothetical_protein.
Os01g0116800	Similar_to_Receptor_like kinase.
Os01g0116900	Protein_kinase,_catalytic_domain_domain_containing_protein.
Os01g0116901	Hypothetical_protein.
Os01g0117000	Similar_to_Receptor_like kinase ARK1AS.
Os01g0117025	Hypothetical_protein.
Os01g0117100	Similar_to_Receptor_kinase_LRK10.
Os01g0117200	Similar_to_ARK_protein_(Fragment).
Os01g0117266	Conserved_hypothetical_protein.
Os01g0117300	Similar_to_Receptor_kinase_LRK10.
Os01g0117400	Similar_to_Receptor_like kinase.
Os01g0117450	Hypothetical_protein.
Os01g0117500	Similar_to_Receptor_kinase_LRK10.
Os01g0117600	Protein_kinase,_catalytic_domain_domain_containing_protein.
Os01g0117650	Hypothetical_protein.
Os01g0117700	Similar_to_LRK14.
Os01g0117900	Similar_to_nodulin_like protein.
Os01g0117900	Similar_to_Nodulin_like protein 5NG4.
Os01g0117900	Similar_to_nodulin_like protein.
Os01g0118000	Similar_to_Fructose_bisphosphate aldolase (EC 4.1.2.13) (Fragment).
Os01g0118100	Similar_to_Fructose_bisphosphate aldolase.
Os01g0118300	Similar_to_Phosphatidyl_serine_synthase.
Os01g0118300	Phosphatidylserine_synthase,_Regulation_of_stem_development,_Control_of_cell_elongation_in_uppermost_internode
Os01g0118400	Similar_to_HGA6.
Os01g0118600	Similar_to_Hga5_protein.
Os01g0118700	Similar_to_HGA4.
Os01g0119000	Glycosyltransferase_AER61,_uncharacterized_domain_containing_protein.
Os01g0119100	Similar_to_Glycosyltransferase.
Os01g0119500	Protein_of_unknown_function_DUF1618_domain_containing_protein.
Os01g0120300	Similar_to_EMB2369_(EMBRYO_DEFECTIVE_2369);_ATP_binding_/_aminoacyl_tRNA ligase/ leucine_tRNA ligase/ nucleotide binding.
Os01g0120400	Alanyl_tRNA synthetase, class IIc family protein.
Os01g0120500	Similar_to_PAP_fibrillin_domain_containing_protein,expressed.
